,M
0,0
1,467
2,935
3,1401
4,1866
5,2329
6,2791
7,3250
8,3707
9,4161
10,4611
11,5058
12,5500
13,5939
14,6372
15,6800
16,7222
17,7639
18,8050
19,8454
20,8851
21,9241
22,9623
23,9997
24,10364
25,10722
26,11072
27,11412
28,11743
29,12064
30,12376
31,12678
32,12969
33,13250
34,13520
35,13780
36,14028
37,14264
38,14489
39,14702
40,14903
41,15093
42,15270
43,15434
44,15586
45,15726
46,15852
47,15966
48,16067
49,16154
50,16229
51,16291
52,16339
53,16374
54,16395
55,16404
56,16399
57,16380
58,16349
59,16304
60,16246
61,16174
62,16090
63,15992
64,15882
65,15759
66,15622
67,15474
68,15312
69,15138
70,14952
71,14754
72,14543
73,14321
74,14088
75,13843
76,13586
77,13319
78,13041
79,12752
80,12452
81,12143
82,11824
83,11496
84,11157
85,10810
86,10454
87,10090
88,9717
89,9337
90,8949
91,8553
92,8151
93,7742
94,7327
95,6906
96,6479
97,6047
98,5610
99,5169
100,4723
101,4274
102,3821
103,3365
104,2906
105,2445
106,1982
107,1517
108,1051
109,584
110,117
111,-350
112,-818
113,-1284
114,-1749
115,-2213
116,-2675
117,-3135
118,-3593
119,-4048
120,-4499
121,-4946
122,-5390
123,-5829
124,-6264
125,-6693
126,-7117
127,-7535
128,-7947
129,-8353
130,-8752
131,-9144
132,-9528
133,-9904
134,-10273
135,-10633
136,-10985
137,-11327
138,-11661
139,-11985
140,-12299
141,-12603
142,-12897
143,-13181
144,-13453
145,-13715
146,-13966
147,-14206
148,-14434
149,-14650
150,-14854
151,-15046
152,-15226
153,-15394
154,-15549
155,-15692
156,-15822
157,-15938
158,-16042
159,-16133
160,-16211
161,-16276
162,-16328
163,-16366
164,-16391
165,-16402
166,-16401
167,-16386
168,-16358
169,-16316
170,-16261
171,-16193
172,-16112
173,-16018
174,-15911
175,-15790
176,-15657
177,-15511
178,-15353
179,-15183
180,-15000
181,-14804
182,-14597
183,-14378
184,-14147
185,-13905
186,-13651
187,-13386
188,-13111
189,-12825
190,-12528
191,-12221
192,-11904
193,-11578
194,-11243
195,-10897
196,-10544
197,-10182
198,-9811
199,-9433
200,-9046
201,-8653
202,-8252
203,-7845
204,-7431
205,-7012
206,-6586
207,-6155
208,-5720
209,-5280
210,-4835
211,-4386
212,-3934
213,-3479
214,-3021
215,-2560
216,-2097
217,-1633
218,-1167
219,-701
220,-234
221,234
222,701
223,1168
224,1634
225,2098
226,2560
227,3021
228,3479
229,3935
230,4386
231,4835
232,5280
233,5720
234,6156
235,6587
236,7012
237,7432
238,7845
239,8252
240,8653
241,9047
242,9433
243,9811
244,10182
245,10544
246,10898
247,11243
248,11578
249,11905
250,12222
251,12528
252,12825
253,13111
254,13387
255,13651
256,13905
257,14147
258,14378
259,14597
260,14805
261,15000
262,15183
263,15353
264,15512
265,15657
266,15790
267,15911
268,16018
269,16112
270,16193
271,16261
272,16316
273,16358
274,16386
275,16401
276,16403
277,16391
278,16366
279,16328
280,16276
281,16211
282,16134
283,16043
284,15939
285,15822
286,15692
287,15550
288,15394
289,15227
290,15046
291,14855
292,14650
293,14434
294,14206
295,13966
296,13716
297,13454
298,13181
299,12898
300,12604
301,12299
302,11985
303,11661
304,11327
305,10985
306,10633
307,10273
308,9905
309,9528
310,9144
311,8752
312,8353
313,7948
314,7536
315,7117
316,6693
317,6264
318,5829
319,5390
320,4947
321,4499
322,4048
323,3593
324,3136
325,2676
326,2214
327,1749
328,1284
329,818
330,351
331,-117
332,-584
333,-1051
334,-1517
335,-1982
336,-2445
337,-2906
338,-3364
339,-3821
340,-4274
341,-4723
342,-5169
343,-5610
344,-6047
345,-6479
346,-6906
347,-7327
348,-7742
349,-8151
350,-8553
351,-8949
352,-9336
353,-9717
354,-10090
355,-10454
356,-10810
357,-11157
358,-11495
359,-11824
360,-12143
361,-12452
362,-12751
363,-13040
364,-13318
365,-13586
366,-13842
367,-14088
368,-14321
369,-14543
370,-14754
371,-14952
372,-15138
373,-15312
374,-15473
375,-15622
376,-15758
377,-15881
378,-15992
379,-16090
380,-16174
381,-16245
382,-16304
383,-16348
384,-16380
385,-16398
386,-16403
387,-16395
388,-16373
389,-16338
390,-16290
391,-16229
392,-16154
393,-16067
394,-15966
395,-15852
396,-15725
397,-15586
398,-15434
399,-15269
400,-15093
401,-14903
402,-14702
403,-14489
404,-14264
405,-14027
406,-13779
407,-13520
408,-13250
409,-12969
410,-12678
411,-12376
412,-12064
413,-11743
414,-11411
415,-11071
416,-10722
417,-10364
418,-9997
419,-9623
420,-9240
421,-8851
422,-8453
423,-8049
424,-7639
425,-7222
426,-6800
427,-6371
428,-5938
429,-5500
430,-5058
431,-4611
432,-4161
433,-3707
434,-3250
435,-2791
436,-2329
437,-1865
438,-1400
439,-934
440,-467
441,0
442,467
443,935
444,1401
445,1866
446,2329
447,2791
448,3250
449,3707
450,4161
451,4611
452,5058
453,5500
454,5938
455,6372
456,6800
457,7223
458,7639
459,8049
460,8453
461,8851
462,9241
463,9623
464,9997
465,10364
466,10722
467,11071
468,11412
469,11743
470,12065
471,12376
472,12678
473,12969
474,13250
475,13520
476,13779
477,14027
478,14264
479,14489
480,14702
481,14904
482,15093
483,15270
484,15434
485,15586
486,15726
487,15852
488,15966
489,16067
490,16154
491,16229
492,16291
493,16339
494,16374
495,16395
496,16404
497,16399
498,16380
499,16349
500,16304
501,16246
502,16174
503,16090
504,15992
505,15882
506,15758
507,15622
508,15473
509,15312
510,15138
511,14952
512,14754
513,14543
514,14322
515,14088
516,13843
517,13586
518,13319
519,13041
520,12752
521,12452
522,12143
523,11824
524,11495
525,11157
526,10810
527,10454
528,10090
529,9717
530,9337
531,8949
532,8554
533,8151
534,7742
535,7327
536,6906
537,6479
538,6047
539,5611
540,5169
541,4723
542,4274
543,3821
544,3365
545,2906
546,2445
547,1982
548,1517
549,1051
550,584
551,117
552,-351
553,-817
554,-1284
555,-1749
556,-2213
557,-2675
558,-3135
559,-3593
560,-4047
561,-4499
562,-4947
563,-5390
564,-5829
565,-6264
566,-6693
567,-7117
568,-7535
569,-7947
570,-8353
571,-8752
572,-9143
573,-9528
574,-9904
575,-10273
576,-10633
577,-10985
578,-11327
579,-11661
580,-11985
581,-12299
582,-12603
583,-12897
584,-13181
585,-13453
586,-13716
587,-13966
588,-14206
589,-14434
590,-14650
591,-14854
592,-15046
593,-15227
594,-15394
