,M
595,-15549
596,-15692
597,-15822
598,-15939
599,-16043
600,-16134
601,-16211
602,-16276
603,-16328
604,-16366
605,-16391
606,-16403
607,-16401
608,-16386
609,-16357
610,-16316
611,-16261
612,-16193
613,-16112
614,-16018
615,-15911
616,-15790
617,-15657
618,-15511
619,-15353
620,-15182
621,-15000
622,-14804
623,-14597
624,-14378
625,-14147
626,-13905
627,-13651
628,-13386
629,-13111
630,-12825
631,-12528
632,-12221
633,-11905
634,-11578
635,-11242
636,-10897
637,-10544
638,-10181
639,-9811
640,-9433
641,-9046
642,-8653
643,-8252
644,-7845
645,-7431
646,-7012
647,-6586
648,-6155
649,-5720
650,-5280
651,-4835
652,-4386
653,-3934
654,-3479
655,-3021
656,-2560
657,-2097
658,-1633
659,-1168
660,-701
661,-234
662,234
663,701
664,1168
665,1633
666,2098
667,2561
668,3021
669,3479
670,3935
671,4386
672,4835
673,5280
674,5720
675,6156
676,6587
677,7012
678,7431
679,7845
680,8253
681,8653
682,9046
683,9433
684,9811
685,10182
686,10544
687,10898
688,11243
689,11578
690,11905
691,12222
692,12528
693,12825
694,13111
695,13387
696,13651
697,13905
698,14147
699,14378
700,14597
701,14805
702,15000
703,15183
704,15353
705,15512
706,15658
707,15791
708,15911
709,16018
710,16112
711,16193
712,16262
713,16316
714,16358
715,16386
716,16401
717,16403
718,16391
719,16366
720,16328
721,16276
722,16212
723,16134
724,16043
725,15939
726,15822
727,15692
728,15550
729,15394
730,15227
731,15046
732,14854
733,14650
734,14434
735,14206
736,13967
737,13716
738,13454
739,13181
740,12897
741,12603
742,12299
743,11985
744,11661
745,11327
746,10985
747,10633
748,10273
749,9905
750,9528
751,9144
752,8752
753,8353
754,7947
755,7535
756,7117
757,6693
758,6264
759,5830
760,5390
761,4947
762,4499
763,4048
764,3593
765,3136
766,2676
767,2214
768,1750
769,1284
770,818
771,351
772,-117
773,-584
774,-1051
775,-1517
776,-1982
777,-2445
778,-2906
779,-3364
780,-3821
781,-4274
782,-4723
783,-5169
784,-5610
785,-6047
786,-6479
787,-6906
788,-7327
789,-7742
790,-8151
791,-8553
792,-8949
793,-9336
794,-9717
795,-10090
796,-10454
797,-10810
798,-11157
799,-11495
800,-11824
801,-12143
802,-12452
803,-12752
804,-13040
805,-13318
806,-13586
807,-13842
808,-14087
809,-14321
810,-14543
811,-14754
812,-14952
813,-15138
814,-15312
815,-15473
816,-15622
817,-15758
818,-15882
819,-15992
820,-16089
821,-16174
822,-16245
823,-16303
824,-16348
825,-16380
826,-16398
827,-16403
828,-16395
829,-16373
830,-16338
831,-16290
832,-16229
833,-16154
834,-16066
835,-15966
836,-15852
837,-15726
838,-15586
839,-15434
840,-15270
841,-15092
842,-14903
843,-14702
844,-14489
845,-14264
846,-14027
847,-13779
848,-13520
849,-13250
850,-12969
851,-12678
852,-12376
853,-12064
854,-11743
855,-11411
856,-11071
857,-10722
858,-10364
859,-9997
860,-9623
861,-9240
862,-8850
863,-8453
864,-8049
865,-7639
866,-7222
867,-6800
868,-6371
869,-5938
870,-5500
871,-5058
872,-4611
873,-4161
874,-3707
875,-3250
876,-2791
877,-2329
878,-1866
879,-1400
880,-934
881,-467
882,0
883,468
884,934
885,1401
886,1866
887,2329
888,2791
889,3250
890,3707
891,4161
892,4611
893,5058
894,5501
895,5939
896,6372
897,6800
898,7223
899,7639
900,8049
901,8454
902,8851
903,9241
904,9623
905,9997
906,10364
907,10722
908,11071
909,11412
910,11743
911,12064
912,12376
913,12678
914,12969
915,13250
916,13520
917,13779
918,14027
919,14264
920,14489
921,14702
922,14903
923,15093
924,15270
925,15434
926,15586
927,15726
928,15852
929,15966
930,16067
931,16155
932,16229
933,16291
934,16339
935,16374
936,16395
937,16404
938,16399
939,16380
940,16349
941,16304
942,16245
943,16174
944,16090
945,15992
946,15882
947,15758
948,15622
949,15473
950,15312
951,15138
952,14952
953,14754
954,14544
955,14322
956,14088
957,13843
958,13586
959,13319
960,13041
961,12752
962,12453
963,12143
964,11824
965,11495
966,11157
967,10810
968,10454
969,10090
970,9717
971,9337
972,8949
973,8554
974,8151
975,7742
976,7327
977,6906
978,6479
979,6047
980,5610
981,5169
982,4723
983,4274
984,3821
985,3365
986,2906
987,2445
988,1982
989,1517
990,1051
991,584
992,117
993,-351
994,-817
995,-1284
996,-1749
997,-2213
998,-2675
999,-3136
1000,-3593
1001,-4048
1002,-4499
1003,-4947
1004,-5390
1005,-5829
1006,-6264
1007,-6693
1008,-7117
1009,-7535
1010,-7947
1011,-8353
1012,-8752
1013,-9144
1014,-9528
1015,-9904
1016,-10273
1017,-10633
1018,-10985
1019,-11327
1020,-11661
1021,-11985
1022,-12299
1023,-12603
1024,-12897
1025,-13181
1026,-13454
1027,-13715
1028,-13966
1029,-14206
1030,-14434
1031,-14650
1032,-14854
1033,-15046
1034,-15227
1035,-15394
1036,-15549
1037,-15692
1038,-15821
1039,-15938
1040,-16043
1041,-16134
1042,-16211
1043,-16276
1044,-16327
1045,-16366
1046,-16391
1047,-16403
1048,-16401
1049,-16386
1050,-16357
1051,-16316
1052,-16261
1053,-16193
1054,-16112
1055,-16018
1056,-15911
1057,-15790
1058,-15657
1059,-15511
1060,-15353
1061,-15183
1062,-15000
1063,-14804
1064,-14597
1065,-14378
1066,-14147
1067,-13905
1068,-13651
1069,-13387
1070,-13111
1071,-12825
1072,-12528
1073,-12221
1074,-11905
1075,-11578
1076,-11243
1077,-10897
1078,-10544
1079,-10181
1080,-9811
1081,-9432
1082,-9046
1083,-8653
1084,-8252
1085,-7845
1086,-7431
1087,-7012
1088,-6586
1089,-6155
1090,-5720
1091,-5279
1092,-4835
1093,-4386
1094,-3934
1095,-3479
1096,-3021
1097,-2560
1098,-2097
1099,-1633
1100,-1168
1101,-701
1102,-233
1103,234
1104,701
1105,1168
1106,1634
1107,2098
1108,2560
1109,3021
1110,3479
1111,3935
1112,4387
1113,4835
1114,5280
1115,5720
1116,6156
1117,6586
1118,7012
1119,7431
1120,7845
1121,8252
1122,8653
1123,9047
1124,9433
1125,9811
1126,10182
1127,10544
1128,10898
1129,11243
1130,11579
1131,11905
1132,12221
1133,12528
1134,12825
1135,13111
1136,13387
1137,13651
1138,13905
1139,14147
1140,14378
1141,14597
1142,14805
1143,15000
1144,15183
1145,15354
1146,15512
1147,15657
1148,15791
1149,15911
1150,16018
1151,16112
1152,16193
1153,16262
1154,16316
1155,16358
1156,16386
1157,16401
1158,16403
1159,16391
1160,16366
1161,16328
1162,16276
1163,16212
1164,16134
1165,16043
1166,15939
1167,15822
1168,15692
1169,15549
1170,15394
1171,15227
1172,15046
1173,14855
1174,14650
1175,14434
1176,14206
1177,13966
1178,13716
1179,13454
1180,13181
1181,12898
1182,12603
1183,12299
1184,11985
1185,11661
1186,11328
1187,10985
1188,10633
1189,10273
1190,9905
1191,9528
1192,9144
1193,8752
1194,8353
1195,7947
1196,7536
1197,7117
1198,6693
1199,6264
1200,5829
1201,5390
1202,4947
1203,4499
1204,4048
1205,3593
1206,3136
1207,2676
1208,2214
1209,1750
1210,1284
1211,818
1212,351
1213,-117
1214,-584
1215,-1051
1216,-1517
1217,-1982
1218,-2445
1219,-2906
1220,-3364
1221,-3821
1222,-4274
1223,-4723
1224,-5169
1225,-5610
1226,-6047
1227,-6479
1228,-6906
1229,-7327
1230,-7742
1231,-8151
1232,-8553
1233,-8948
1234,-9337
1235,-9717
1236,-10090
1237,-10454
1238,-10810
1239,-11157
1240,-11495
1241,-11824
1242,-12143
1243,-12452
1244,-12752
1245,-13040
1246,-13319
1247,-13586
1248,-13842
1249,-14087
1250,-14321
1251,-14543
1252,-14754
1253,-14952
1254,-15138
1255,-15312
1256,-15473
1257,-15622
1258,-15758
1259,-15882
1260,-15992
1261,-16089
1262,-16174
1263,-16245
1264,-16303
1265,-16348
1266,-16380
1267,-16398
1268,-16403
1269,-16395
1270,-16373
1271,-16339
1272,-16290
1273,-16229
1274,-16154
1275,-16066
1276,-15966
1277,-15852
1278,-15725
1279,-15586
1280,-15434
1281,-15270
1282,-15093
1283,-14903
1284,-14702
1285,-14489
1286,-14264
1287,-14027
1288,-13779
1289,-13520
1290,-13250
1291,-12969
1292,-12678
1293,-12376
1294,-12064
1295,-11742
1296,-11411
1297,-11071
1298,-10722
1299,-10364
1300,-9997
1301,-9623
1302,-9240
1303,-8851
1304,-8453
1305,-8049
1306,-7639
1307,-7222
1308,-6800
1309,-6372
1310,-5938
1311,-5500
1312,-5058
1313,-4611
1314,-4161
1315,-3707
1316,-3250
1317,-2791
1318,-2329
1319,-1865
1320,-1401
1321,-934
1322,-467
1323,0
1324,467
1325,934
1326,1401
1327,1866
1328,2329
1329,2791
1330,3251
1331,3707
1332,4161
1333,4611
1334,5058
1335,5501
1336,5939
1337,6372
1338,6800
1339,7223
1340,7639
1341,8049
1342,8453
1343,8851
1344,9241
1345,9623
1346,9997
1347,10364
1348,10722
1349,11072
1350,11412
1351,11743
1352,12065
1353,12376
1354,12678
1355,12969
1356,13250
1357,13520
1358,13779
1359,14028
1360,14264
1361,14489
1362,14702
1363,14903
1364,15093
1365,15270
1366,15434
1367,15586
1368,15726
1369,15852
1370,15966
1371,16067
1372,16155
1373,16229
1374,16290
1375,16339
1376,16373
1377,16395
1378,16403
1379,16398
1380,16380
1381,16349
1382,16304
1383,16245
1384,16174
1385,16090
1386,15992
1387,15882
1388,15758
1389,15622
1390,15474
1391,15312
1392,15138
1393,14952
1394,14754
1395,14543
1396,14322
1397,14088
1398,13842
1399,13586
1400,13319
1401,13041
1402,12752
1403,12452
1404,12143
1405,11824
1406,11495
1407,11157
1408,10810
1409,10454
1410,10090
1411,9717
1412,9337
1413,8949
1414,8553
1415,8151
1416,7742
1417,7327
1418,6906
1419,6479
1420,6047
1421,5610
1422,5169
1423,4723
1424,4274
1425,3821
1426,3365
1427,2906
1428,2445
1429,1982
1430,1517
1431,1051
1432,584
1433,117
1434,-350
1435,-817
1436,-1284
1437,-1749
1438,-2213
1439,-2675
1440,-3135
1441,-3593
1442,-4047
1443,-4499
1444,-4946
1445,-5390
1446,-5829
1447,-6264
1448,-6693
1449,-7117
1450,-7535
1451,-7947
1452,-8353
1453,-8752
1454,-9143
1455,-9528
1456,-9905
1457,-10273
1458,-10633
1459,-10985
1460,-11327
1461,-11661
1462,-11985
1463,-12299
1464,-12603
1465,-12897
1466,-13181
1467,-13453
1468,-13715
1469,-13966
1470,-14206
1471,-14434
1472,-14650
1473,-14854
1474,-15046
1475,-15227
1476,-15394
1477,-15549
1478,-15692
1479,-15821
1480,-15939
1481,-16042
1482,-16133
1483,-16211
1484,-16276
1485,-16327
1486,-16366
1487,-16391
1488,-16402
1489,-16401
1490,-16386
1491,-16357
1492,-16316
1493,-16261
1494,-16193
1495,-16112
1496,-16018
1497,-15910
1498,-15790
1499,-15657
1500,-15511
1501,-15353
1502,-15183
1503,-14999
1504,-14804
1505,-14597
1506,-14378
1507,-14147
1508,-13905
1509,-13651
1510,-13386
1511,-13111
1512,-12825
1513,-12528
1514,-12221
1515,-11904
1516,-11578
1517,-11242
1518,-10897
1519,-10544
1520,-10182
1521,-9811
1522,-9433
1523,-9046
1524,-8653
1525,-8252
1526,-7845
1527,-7431
1528,-7012
1529,-6586
1530,-6156
1531,-5720
1532,-5279
1533,-4835
1534,-4386
1535,-3934
1536,-3479
1537,-3021
1538,-2560
1539,-2098
1540,-1633
1541,-1167
1542,-701
1543,-234
1544,234
1545,701
1546,1168
1547,1634
1548,2098
1549,2560
1550,3021
1551,3479
1552,3934
1553,4387
1554,4835
1555,5280
1556,5720
1557,6156
1558,6586
1559,7012
1560,7431
1561,7845
1562,8252
1563,8653
1564,9046
1565,9433
1566,9811
1567,10182
1568,10544
1569,10898
1570,11243
1571,11579
1572,11905
1573,12222
1574,12528
1575,12825
1576,13111
1577,13387
1578,13651
1579,13905
1580,14147
1581,14378
1582,14597
1583,14804
1584,15000
1585,15183
1586,15353
1587,15512
1588,15658
1589,15790
1590,15911
1591,16018
1592,16112
1593,16193
1594,16261
1595,16316
1596,16358
1597,16386
1598,16401
1599,16403
1600,16391
1601,16366
1602,16328
1603,16276
1604,16212
1605,16134
1606,16043
1607,15939
1608,15822
1609,15692
1610,15550
1611,15394
1612,15227
1613,15046
1614,14854
1615,14650
1616,14434
1617,14206
1618,13966
1619,13716
1620,13454
1621,13181
1622,12897
1623,12603
1624,12299
1625,11985
1626,11661
1627,11328
1628,10985
1629,10633
1630,10273
1631,9905
1632,9528
1633,9144
1634,8752
1635,8353
1636,7947
1637,7536
1638,7117
1639,6693
1640,6264
1641,5829
1642,5390
1643,4947
1644,4499
1645,4048
1646,3593
1647,3136
1648,2676
1649,2214
1650,1750
1651,1284
1652,818
1653,351
1654,-117
1655,-584
1656,-1051
1657,-1517
1658,-1981
1659,-2445
1660,-2906
1661,-3365
1662,-3821
1663,-4274
1664,-4723
1665,-5169
1666,-5610
1667,-6047
1668,-6479
1669,-6906
1670,-7327
1671,-7742
1672,-8151
1673,-8553
1674,-8949
1675,-9337
1676,-9717
1677,-10090
1678,-10454
1679,-10810
1680,-11157
1681,-11495
1682,-11824
1683,-12143
1684,-12452
1685,-12752
1686,-13040
1687,-13319
1688,-13586
1689,-13842
1690,-14087
1691,-14321
1692,-14543
1693,-14754
1694,-14952
1695,-15138
1696,-15312
1697,-15473
1698,-15622
1699,-15758
1700,-15881
1701,-15992
1702,-16089
1703,-16174
1704,-16245
1705,-16303
1706,-16348
1707,-16380
1708,-16398
1709,-16403
1710,-16395
1711,-16373
1712,-16339
1713,-16290
1714,-16229
1715,-16154
1716,-16066
1717,-15966
1718,-15852
1719,-15725
1720,-15586
1721,-15434
1722,-15270
1723,-15092
1724,-14903
1725,-14702
1726,-14489
1727,-14264
1728,-14027
1729,-13779
1730,-13520
1731,-13250
1732,-12969
1733,-12678
1734,-12376
1735,-12064
1736,-11742
1737,-11411
1738,-11071
1739,-10722
1740,-10364
1741,-9997
1742,-9623
1743,-9240
1744,-8850
1745,-8453
1746,-8049
1747,-7639
1748,-7222
1749,-6800
1750,-6371
1751,-5938
1752,-5500
1753,-5058
1754,-4611
1755,-4161
1756,-3707
1757,-3250
1758,-2791
1759,-2329
1760,-1866
1761,-1401
1762,-934
1763,-467
1764,0
1765,468
1766,935
1767,1401
1768,1866
1769,2329
1770,2791
1771,3251
1772,3707
1773,4161
1774,4611
1775,5058
1776,5500
1777,5939
1778,6372
1779,6800
1780,7223
1781,7639
1782,8049
1783,8454
1784,8851
1785,9241
1786,9623
1787,9997
1788,10364
1789,10722
1790,11072
1791,11412
1792,11743
1793,12065
1794,12376
1795,12678
1796,12969
1797,13250
1798,13520
1799,13779
1800,14027
1801,14264
1802,14489
1803,14702
1804,14904
1805,15093
1806,15270
1807,15434
1808,15586
1809,15726
1810,15852
1811,15966
1812,16067
1813,16154
1814,16229
1815,16291
1816,16339
1817,16373
1818,16395
1819,16404
1820,16398
1821,16380
1822,16349
1823,16304
1824,16245
1825,16174
1826,16090
1827,15992
1828,15882
1829,15759
1830,15622
1831,15474
1832,15312
1833,15138
1834,14952
1835,14754
1836,14544
1837,14322
1838,14088
1839,13843
1840,13586
1841,13319
1842,13041
1843,12752
1844,12453
1845,12143
1846,11824
1847,11496
1848,11157
1849,10810
1850,10454
1851,10090
1852,9717
1853,9337
1854,8949
1855,8554
1856,8151
1857,7742
1858,7327
1859,6906
1860,6479
1861,6047
1862,5610
1863,5169
1864,4723
1865,4274
1866,3821
1867,3365
1868,2906
1869,2445
1870,1982
1871,1517
1872,1051
1873,584
1874,117
1875,-350
1876,-818
1877,-1284
1878,-1749
1879,-2213
1880,-2675
1881,-3135
1882,-3593
1883,-4048
1884,-4499
1885,-4946
1886,-5390
1887,-5829
1888,-6264
1889,-6693
1890,-7117
1891,-7535
1892,-7947
1893,-8353
1894,-8752
1895,-9143
1896,-9528
1897,-9905
1898,-10273
1899,-10633
1900,-10985
1901,-11327
1902,-11661
1903,-11985
1904,-12299
1905,-12603
1906,-12897
1907,-13181
1908,-13454
1909,-13716
1910,-13966
1911,-14206
1912,-14434
1913,-14650
1914,-14854
1915,-15046
1916,-15226
1917,-15394
1918,-15549
1919,-15692
1920,-15821
1921,-15939
1922,-16043
1923,-16133
1924,-16211
1925,-16276
1926,-16328
1927,-16366
1928,-16391
1929,-16403
1930,-16401
1931,-16386
1932,-16358
1933,-16316
1934,-16261
1935,-16193
1936,-16112
1937,-16018
1938,-15911
1939,-15790
1940,-15657
1941,-15512
1942,-15353
1943,-15182
1944,-15000
1945,-14804
1946,-14597
1947,-14378
1948,-14147
1949,-13905
1950,-13651
1951,-13386
1952,-13111
1953,-12825
1954,-12528
1955,-12221
1956,-11904
1957,-11578
1958,-11242
1959,-10897
1960,-10544
1961,-10182
1962,-9811
1963,-9433
1964,-9046
1965,-8653
1966,-8252
1967,-7845
1968,-7431
1969,-7012
1970,-6586
1971,-6155
1972,-5720
1973,-5280
1974,-4835
1975,-4386
1976,-3934
1977,-3479
1978,-3021
1979,-2560
1980,-2098
1981,-1633
1982,-1168
1983,-701
1984,-233
1985,234
1986,701
1987,1168
1988,1634
1989,2098
1990,2561
1991,3021
1992,3479
1993,3934
1994,4387
1995,4835
1996,5280
1997,5720
1998,6156
1999,6586
2000,7012
2001,7431
2002,7845
2003,8252
2004,8653
2005,9046
2006,9433
2007,9811
2008,10182
2009,10544
2010,10898
2011,11243
2012,11579
2013,11905
2014,12221
2015,12528
2016,12825
2017,13111
2018,13387
2019,13651
2020,13905
2021,14147
2022,14378
2023,14597
2024,14804
2025,15000
2026,15183
2027,15354
2028,15512
2029,15657
2030,15791
2031,15911
2032,16018
2033,16112
2034,16193
2035,16262
2036,16316
2037,16358
2038,16386
2039,16401
2040,16403
2041,16391
2042,16366
2043,16328
2044,16276
2045,16211
2046,16134
2047,16043
2048,15939
2049,15822
2050,15692
2051,15549
2052,15394
2053,15227
2054,15046
2055,14854
2056,14650
2057,14434
2058,14206
2059,13966
2060,13716
2061,13454
2062,13181
2063,12897
2064,12604
2065,12299
2066,11985
2067,11661
2068,11327
2069,10985
2070,10633
2071,10273
2072,9905
2073,9528
2074,9144
2075,8752
2076,8353
2077,7947
2078,7536
2079,7117
2080,6693
2081,6264
2082,5830
2083,5390
2084,4947
2085,4499
2086,4048
2087,3593
2088,3136
2089,2676
2090,2213
2091,1749
2092,1284
2093,818
2094,351
2095,-117
2096,-584
2097,-1051
2098,-1517
2099,-1981
2100,-2445
2101,-2906
2102,-3365
2103,-3821
2104,-4274
2105,-4723
2106,-5169
2107,-5610
2108,-6047
2109,-6479
2110,-6906
2111,-7327
2112,-7742
2113,-8151
2114,-8553
2115,-8949
2116,-9337
2117,-9717
2118,-10090
2119,-10454
2120,-10810
2121,-11157
2122,-11495
2123,-11824
2124,-12143
2125,-12452
2126,-12752
2127,-13040
2128,-13318
2129,-13586
2130,-13842
2131,-14087
2132,-14321
2133,-14543
2134,-14754
2135,-14952
2136,-15138
2137,-15312
2138,-15473
2139,-15622
2140,-15758
2141,-15882
2142,-15992
2143,-16089
2144,-16174
2145,-16245
2146,-16303
2147,-16348
2148,-16380
2149,-16398
2150,-16403
2151,-16395
2152,-16373
2153,-16339
2154,-16290
2155,-16229
2156,-16154
2157,-16066
2158,-15966
2159,-15852
2160,-15725
2161,-15586
2162,-15434
2163,-15270
2164,-15093
2165,-14903
2166,-14702
2167,-14489
2168,-14264
2169,-14027
2170,-13779
2171,-13520
2172,-13250
2173,-12969
2174,-12678
2175,-12376
2176,-12064
2177,-11743
2178,-11411
2179,-11071
2180,-10722
2181,-10364
2182,-9997
2183,-9623
2184,-9240
2185,-8851
2186,-8453
2187,-8049
2188,-7639
2189,-7222
2190,-6800
2191,-6372
2192,-5938
2193,-5500
2194,-5058
2195,-4611
2196,-4161
2197,-3707
2198,-3250
2199,-2791
2200,-2329
2201,-1865
2202,-1401
2203,-934
2204,-467
2205,0
2206,467
2207,935
2208,1401
2209,1866
2210,2329
2211,2791
2212,3250
2213,3707
2214,4161
2215,4611
2216,5058
2217,5501
2218,5938
2219,6372
2220,6800
2221,7222
2222,7639
2223,8049
2224,8453
2225,8851
2226,9241
2227,9623
2228,9997
2229,10364
2230,10722
2231,11071
2232,11412
2233,11743
2234,12064
2235,12376
2236,12678
2237,12969
2238,13250
2239,13520
2240,13779
2241,14028
2242,14264
2243,14489
2244,14702
2245,14904
2246,15093
2247,15270
2248,15434
2249,15586
2250,15726
2251,15852
2252,15966
2253,16067
2254,16154
2255,16229
2256,16290
2257,16339
2258,16374
2259,16395
2260,16403
2261,16398
2262,16380
2263,16348
2264,16304
2265,16245
2266,16174
2267,16090
2268,15992
2269,15882
2270,15759
2271,15622
2272,15473
2273,15312
2274,15138
2275,14952
2276,14754
2277,14544
2278,14322
2279,14088
2280,13843
2281,13586
2282,13319
2283,13040
2284,12752
2285,12453
2286,12143
2287,11824
2288,11495
2289,11157
2290,10810
2291,10454
2292,10090
2293,9717
2294,9337
2295,8949
2296,8554
2297,8151
2298,7742
2299,7327
2300,6906
2301,6479
2302,6047
2303,5610
2304,5169
2305,4723
2306,4274
2307,3821
2308,3365
2309,2906
2310,2445
2311,1982
2312,1517
2313,1051
2314,584
2315,117
2316,-351
2317,-817
2318,-1284
2319,-1749
2320,-2213
2321,-2675
2322,-3135
2323,-3593
2324,-4048
2325,-4499
2326,-4947
2327,-5390
