,M
588,-14206
589,-14753
590,-15227
591,-15622
592,-15939
593,-16174
594,-16328
595,-16398
596,-16386
597,-16290
598,-16112
599,-15852
600,-15511
601,-15093
602,-14597
603,-14027
604,-13387
605,-12678
606,-11905
607,-11071
608,-10181
609,-9240
610,-8252
611,-7222
612,-6156
613,-5058
614,-3934
615,-2791
616,-1633
617,-467
618,701
619,1866
620,3021
621,4161
622,5280
623,6372
624,7432
625,8454
626,9433
627,10364
628,11243
629,12065
630,12825
631,13520
632,14147
633,14702
634,15183
635,15586
636,15911
637,16155
638,16316
639,16395
640,16391
641,16304
642,16134
643,15882
644,15550
645,15138
646,14650
647,14088
648,13454
649,12752
650,11985
651,11157
652,10273
653,9337
654,8353
655,7327
656,6264
657,5169
658,4048
659,2906
660,1749
661,584
662,-584
663,-1749
664,-2906
665,-4047
666,-5169
667,-6264
668,-7327
669,-8353
670,-9336
671,-10273
672,-11157
673,-11985
674,-12752
675,-13453
676,-14087
677,-14650
678,-15138
679,-15549
680,-15882
681,-16134
682,-16304
683,-16391
684,-16395
685,-16316
686,-16154
687,-15911
688,-15586
689,-15183
690,-14702
691,-14147
692,-13520
693,-12825
694,-12064
695,-11242
696,-10364
697,-9433
698,-8453
699,-7431
700,-6372
701,-5280
702,-4161
703,-3021
704,-1866
705,-701
706,468
707,1633
708,2791
709,3934
710,5058
711,6156
712,7223
713,8253
714,9241
715,10182
716,11072
717,11905
718,12678
719,13387
720,14027
721,14597
722,15093
723,15512
724,15852
725,16112
726,16291
727,16386
728,16399
729,16328
730,16174
731,15939
732,15622
733,15227
734,14754
735,14206
736,13586
737,12898
738,12143
739,11328
740,10454
741,9528
742,8554
743,7535
744,6479
745,5390
746,4274
747,3136
748,1982
749,818
750,-350
751,-1517
752,-2675
753,-3821
754,-4946
755,-6047
756,-7117
757,-8151
758,-9144
759,-10090
760,-10985
761,-11824
762,-12603
763,-13318
764,-13966
765,-14543
766,-15046
767,-15473
768,-15821
769,-16089
770,-16276
771,-16380
772,-16401
773,-16339
774,-16193
775,-15966
776,-15657
777,-15269
778,-14804
779,-14264
780,-13651
781,-12969
782,-12221
783,-11411
784,-10544
785,-9623
786,-8653
787,-7639
788,-6586
789,-5500
790,-4386
791,-3250
792,-2098
793,-934
794,234
795,1401
796,2561
797,3707
798,4835
799,5938
800,7012
801,8050
802,9047
803,9998
804,10898
805,11743
806,12528
807,13250
808,13905
809,14489
810,15000
811,15434
812,15790
813,16067
814,16261
815,16373
816,16403
817,16349
818,16212
819,15992
820,15692
821,15312
822,14855
823,14321
824,13716
825,13040
826,12299
827,11495
828,10633
829,9717
830,8752
831,7742
832,6694
833,5610
834,4499
835,3365
836,2214
837,1051
838,-117
839,-1284
840,-2445
841,-3593
842,-4723
843,-5829
844,-6906
845,-7947
846,-8949
847,-9904
848,-10810
849,-11661
850,-12452
851,-13181
852,-13842
853,-14434
854,-14952
855,-15394
856,-15758
857,-16042
858,-16245
859,-16366
860,-16403
861,-16357
862,-16229
863,-16018
864,-15725
865,-15353
866,-14903
867,-14378
868,-13779
869,-13111
870,-12376
871,-11578
872,-10722
873,-9811
874,-8851
875,-7845
876,-6800
877,-5720
878,-4611
879,-3479
880,-2329
881,-1167
882,0
883,1168
884,2329
885,3479
886,4611
887,5720
888,6800
889,7845
890,8851
891,9811
892,10722
893,11578
894,12376
895,13111
896,13779
897,14378
898,14903
899,15353
900,15726
901,16018
902,16229
903,16358
904,16403
905,16366
906,16246
907,16043
908,15758
909,15394
910,14952
911,14434
912,13843
913,13181
914,12452
915,11661
916,10810
917,9905
918,8949
919,7947
920,6906
921,5830
922,4723
923,3593
924,2445
925,1284
926,117
927,-1051
928,-2213
929,-3365
930,-4499
931,-5610
932,-6693
933,-7742
934,-8752
935,-9717
936,-10633
937,-11495
938,-12299
939,-13040
940,-13715
941,-14321
942,-14854
943,-15312
944,-15692
945,-15992
946,-16211
947,-16348
948,-16402
949,-16373
950,-16261
951,-16066
952,-15790
953,-15434
954,-14999
955,-14489
956,-13905
957,-13250
958,-12528
959,-11743
960,-10898
961,-9997
962,-9046
963,-8049
964,-7012
965,-5938
966,-4835
967,-3707
968,-2560
969,-1401
970,-234
971,934
972,2098
973,3251
974,4387
975,5500
976,6586
977,7639
978,8653
979,9623
980,10544
981,11412
982,12222
983,12969
984,13651
985,14264
986,14804
987,15270
988,15657
989,15966
990,16193
991,16339
992,16401
993,16380
994,16276
995,16090
996,15822
997,15473
998,15047
999,14543
1000,13966
1001,13319
1002,12603
1003,11824
1004,10985
1005,10090
1006,9144
1007,8151
1008,7117
1009,6047
1010,4947
1011,3821
1012,2676
1013,1517
1014,351
1015,-818
1016,-1982
1017,-3136
1018,-4274
1019,-5390
1020,-6479
1021,-7535
1022,-8553
1023,-9528
1024,-10454
1025,-11327
1026,-12143
1027,-12897
1028,-13586
1029,-14206
1030,-14753
1031,-15227
1032,-15622
1033,-15938
1034,-16174
1035,-16328
1036,-16398
1037,-16386
1038,-16290
1039,-16112
1040,-15852
1041,-15511
1042,-15092
1043,-14597
1044,-14027
1045,-13387
1046,-12678
1047,-11905
1048,-11071
1049,-10181
1050,-9240
1051,-8252
1052,-7222
1053,-6155
1054,-5058
1055,-3934
1056,-2791
1057,-1633
1058,-467
1059,701
1060,1866
1061,3021
1062,4161
1063,5280
1064,6372
1065,7431
1066,8453
1067,9433
1068,10364
1069,11243
1070,12064
1071,12825
1072,13520
1073,14147
1074,14702
1075,15183
1076,15586
1077,15911
1078,16154
1079,16316
1080,16395
1081,16391
1082,16304
1083,16134
1084,15882
1085,15549
1086,15138
1087,14650
1088,14088
1089,13454
1090,12752
1091,11985
1092,11157
1093,10273
1094,9337
1095,8353
1096,7327
1097,6264
1098,5169
1099,4048
1100,2906
1101,1749
1102,584
1103,-584
1104,-1749
1105,-2906
1106,-4048
1107,-5169
1108,-6264
1109,-7327
1110,-8353
1111,-9337
1112,-10273
1113,-11157
1114,-11985
1115,-12751
1116,-13453
1117,-14088
1118,-14650
1119,-15138
1120,-15549
1121,-15882
1122,-16134
1123,-16304
1124,-16391
1125,-16395
1126,-16316
1127,-16154
1128,-15911
1129,-15586
1130,-15183
1131,-14702
1132,-14147
1133,-13520
1134,-12825
1135,-12064
1136,-11243
1137,-10364
1138,-9433
1139,-8453
1140,-7431
1141,-6371
1142,-5279
1143,-4161
1144,-3021
1145,-1866
1146,-701
1147,468
1148,1633
1149,2791
1150,3935
1151,5058
1152,6156
1153,7222
1154,8252
1155,9240
1156,10182
1157,11072
1158,11905
1159,12678
1160,13387
1161,14028
1162,14597
1163,15093
1164,15512
1165,15852
1166,16112
1167,16290
1168,16386
1169,16399
1170,16328
1171,16174
1172,15939
1173,15622
1174,15227
1175,14754
1176,14206
1177,13586
1178,12898
1179,12143
1180,11328
1181,10454
1182,9528
1183,8554
1184,7535
1185,6479
1186,5390
1187,4274
1188,3136
1189,1982
1190,818
