,M
4591,5280
4592,6372
4593,7432
4594,8454
4595,9433
4596,10364
4597,11243
4598,12065
4599,12825
4600,13520
4601,14147
4602,14702
4603,15183
4604,15586
4605,15911
4606,16154
4607,16316
4608,16395
4609,16391
4610,16304
4611,16134
4612,15882
4613,15550
4614,15138
4615,14650
4616,14088
4617,13454
4618,12752
4619,11985
4620,11157
4621,10273
4622,9337
4623,8353
4624,7327
4625,6264
4626,5169
4627,4048
4628,2906
4629,1749
4630,584
4631,-584
4632,-1749
4633,-2906
4634,-4047
4635,-5169
4636,-6264
4637,-7327
4638,-8353
4639,-9337
4640,-10273
4641,-11157
4642,-11985
4643,-12751
4644,-13453
4645,-14087
4646,-14650
4647,-15138
4648,-15549
4649,-15881
4650,-16134
4651,-16304
4652,-16391
4653,-16395
4654,-16316
4655,-16154
4656,-15911
4657,-15586
4658,-15183
4659,-14702
4660,-14147
4661,-13520
4662,-12825
4663,-12064
4664,-11243
4665,-10364
4666,-9433
4667,-8453
4668,-7431
4669,-6371
4670,-5280
4671,-4161
4672,-3021
4673,-1866
4674,-701
4675,468
4676,1633
4677,2791
4678,3934
4679,5058
4680,6156
4681,7223
4682,8253
4683,9240
4684,10182
4685,11071
4686,11905
4687,12678
4688,13387
4689,14027
4690,14597
4691,15093
4692,15512
4693,15852
4694,16112
4695,16291
4696,16386
4697,16399
4698,16328
4699,16174
4700,15939
4701,15622
4702,15227
4703,14754
4704,14206
4705,13586
4706,12898
4707,12143
4708,11327
4709,10454
4710,9528
4711,8554
4712,7536
4713,6479
4714,5390
4715,4274
4716,3136
4717,1982
4718,818
4719,-350
4720,-1517
4721,-2676
4722,-3821
4723,-4946
4724,-6047
4725,-7117
4726,-8151
4727,-9143
4728,-10090
4729,-10985
4730,-11824
4731,-12603
4732,-13319
4733,-13966
4734,-14543
4735,-15046
4736,-15473
4737,-15821
4738,-16089
4739,-16276
4740,-16380
4741,-16401
4742,-16338
4743,-16193
4744,-15966
4745,-15657
4746,-15269
4747,-14804
4748,-14264
4749,-13651
4750,-12969
4751,-12221
4752,-11411
4753,-10544
4754,-9623
4755,-8653
4756,-7639
4757,-6586
4758,-5500
4759,-4386
4760,-3250
4761,-2097
4762,-934
4763,234
4764,1401
4765,2561
4766,3707
4767,4835
4768,5938
4769,7012
4770,8050
4771,9047
4772,9998
4773,10898
4774,11743
4775,12528
4776,13250
4777,13905
4778,14489
4779,15000
4780,15434
4781,15790
4782,16067
4783,16262
4784,16373
4785,16403
4786,16348
4787,16211
4788,15992
4789,15692
4790,15312
4791,14854
4792,14321
4793,13716
4794,13041
4795,12299
4796,11495
4797,10633
4798,9717
4799,8752
4800,7742
4801,6694
4802,5611
4803,4499
4804,3365
4805,2214
4806,1051
4807,-117
4808,-1284
4809,-2445
4810,-3593
4811,-4723
4812,-5829
4813,-6906
4814,-7947
4815,-8948
4816,-9904
4817,-10810
4818,-11661
4819,-12452
4820,-13181
4821,-13842
4822,-14434
4823,-14952
4824,-15394
4825,-15758
4826,-16043
4827,-16245
4828,-16366
4829,-16403
4830,-16357
4831,-16229
4832,-16018
4833,-15726
4834,-15353
4835,-14903
4836,-14378
4837,-13779
4838,-13111
4839,-12376
4840,-11578
4841,-10722
4842,-9811
4843,-8851
4844,-7845
4845,-6800
4846,-5720
4847,-4611
4848,-3479
4849,-2329
4850,-1168
4851,0
4852,1168
4853,2329
4854,3479
4855,4611
4856,5720
4857,6800
4858,7845
4859,8851
4860,9811
4861,10722
4862,11579
4863,12376
4864,13111
4865,13780
4866,14378
4867,14903
4868,15354
4869,15726
4870,16018
4871,16229
4872,16358
4873,16404
4874,16366
4875,16245
4876,16043
4877,15759
4878,15394
4879,14952
4880,14434
4881,13843
4882,13181
4883,12452
4884,11661
4885,10810
4886,9905
4887,8949
4888,7948
4889,6906
4890,5830
4891,4723
4892,3593
4893,2445
4894,1284
4895,117
4896,-1051
4897,-2213
4898,-3364
4899,-4499
4900,-5610
4901,-6693
4902,-7742
4903,-8752
4904,-9717
4905,-10633
4906,-11495
4907,-12299
4908,-13040
4909,-13716
4910,-14321
4911,-14854
4912,-15312
4913,-15692
4914,-15992
4915,-16211
4916,-16348
4917,-16403
4918,-16373
4919,-16261
4920,-16066
4921,-15790
4922,-15434
4923,-15000
4924,-14489
4925,-13905
4926,-13250
4927,-12528
4928,-11742
4929,-10898
4930,-9997
4931,-9046
4932,-8049
4933,-7012
4934,-5938
4935,-4835
4936,-3707
4937,-2560
4938,-1400
4939,-233
4940,934
4941,2098
4942,3251
4943,4387
4944,5501
4945,6586
4946,7639
4947,8653
4948,9623
4949,10544
4950,11412
4951,12222
4952,12969
4953,13651
4954,14264
4955,14804
4956,15270
4957,15657
4958,15966
4959,16193
4960,16339
4961,16401
4962,16380
4963,16276
4964,16090
4965,15822
4966,15474
4967,15047
4968,14544
4969,13967
4970,13319
4971,12603
4972,11824
4973,10985
4974,10090
4975,9144
4976,8151
4977,7117
4978,6047
4979,4947
4980,3821
4981,2676
4982,1517
4983,351
4984,-818
4985,-1981
4986,-3135
4987,-4274
4988,-5390
4989,-6479
4990,-7535
4991,-8553
4992,-9528
4993,-10454
4994,-11327
4995,-12143
4996,-12897
4997,-13586
4998,-14206
4999,-14753
5000,-15226
5001,-15622
5002,-15938
5003,-16174
5004,-16327
5005,-16398
5006,-16386
5007,-16290
5008,-16112
5009,-15852
5010,-15512
5011,-15092
5012,-14597
5013,-14027
5014,-13387
5015,-12678
5016,-11904
5017,-11071
5018,-10182
5019,-9240
5020,-8252
5021,-7222
5022,-6156
5023,-5058
5024,-3934
5025,-2791
5026,-1633
5027,-467
5028,701
5029,1866
5030,3021
5031,4161
5032,5280
5033,6372
5034,7431
5035,8454
5036,9433
5037,10364
5038,11243
5039,12064
5040,12825
5041,13520
5042,14147
5043,14702
5044,15183
5045,15586
5046,15911
5047,16155
5048,16316
5049,16395
5050,16391
5051,16304
5052,16134
5053,15882
5054,15550
5055,15138
5056,14650
5057,14088
5058,13454
5059,12752
5060,11985
5061,11157
5062,10273
5063,9337
5064,8353
5065,7327
5066,6264
5067,5169
5068,4048
5069,2906
5070,1750
5071,584
5072,-584
5073,-1749
5074,-2906
5075,-4048
5076,-5169
5077,-6264
5078,-7327
5079,-8353
5080,-9336
5081,-10273
5082,-11157
5083,-11985
5084,-12752
5085,-13453
5086,-14088
5087,-14650
5088,-15138
5089,-15549
5090,-15882
5091,-16133
5092,-16304
5093,-16391
5094,-16395
5095,-16316
5096,-16154
5097,-15911
5098,-15586
5099,-15183
5100,-14702
5101,-14147
5102,-13520
5103,-12825
5104,-12064
5105,-11242
5106,-10364
5107,-9432
5108,-8453
5109,-7431
5110,-6371
5111,-5280
5112,-4161
5113,-3021
5114,-1866
5115,-701
5116,467
5117,1634
5118,2791
5119,3935
5120,5058
5121,6156
5122,7222
5123,8252
5124,9240
5125,10182
5126,11072
5127,11905
5128,12678
5129,13387
5130,14027
5131,14597
5132,15093
5133,15512
5134,15852
5135,16112
5136,16290
5137,16386
5138,16398
5139,16328
5140,16174
5141,15939
5142,15622
5143,15227
5144,14754
5145,14206
5146,13586
5147,12898
5148,12143
5149,11328
5150,10454
5151,9528
5152,8553
5153,7536
5154,6479
5155,5390
5156,4274
5157,3136
5158,1982
5159,818
5160,-350
5161,-1517
5162,-2675
5163,-3821
5164,-4947
5165,-6047
5166,-7117
5167,-8151
5168,-9143
5169,-10090
5170,-10985
5171,-11824
5172,-12603
5173,-13318
5174,-13966
5175,-14543
5176,-15046
5177,-15473
5178,-15822
5179,-16090
5180,-16276
5181,-16380
5182,-16401
5183,-16339
5184,-16193
5185,-15966
5186,-15657
5187,-15270
5188,-14804
5189,-14264
5190,-13651
5191,-12969
5192,-12221
5193,-11411
5194,-10544
5195,-9623
5196,-8653
5197,-7639
5198,-6586
5199,-5500
5200,-4386
5201,-3250
5202,-2098
5203,-934
5204,234
5205,1401
5206,2561
5207,3707
5208,4835
5209,5938
5210,7012
5211,8050
5212,9047
5213,9998
5214,10898
5215,11743
5216,12528
5217,13250
5218,13905
5219,14489
5220,15000
5221,15434
5222,15790
5223,16067
5224,16262
5225,16373
5226,16403
5227,16349
5228,16211
5229,15992
5230,15692
5231,15312
5232,14854
5233,14321
5234,13716
5235,13040
5236,12299
5237,11496
5238,10633
5239,9717
5240,8752
5241,7742
5242,6694
5243,5610
5244,4499
5245,3365
5246,2214
5247,1051
5248,-117
5249,-1284
5250,-2445
5251,-3593
5252,-4723
5253,-5829
5254,-6906
5255,-7947
5256,-8948
5257,-9904
5258,-10810
5259,-11661
5260,-12452
5261,-13181
5262,-13842
5263,-14434
5264,-14952
5265,-15394
5266,-15758
5267,-16043
5268,-16245
5269,-16366
5270,-16403
5271,-16357
5272,-16229
5273,-16018
5274,-15726
5275,-15353
5276,-14903
5277,-14378
5278,-13779
5279,-13111
5280,-12376
5281,-11578
5282,-10722
5283,-9811
5284,-8850
5285,-7845
5286,-6800
5287,-5720
5288,-4611
5289,-3479
5290,-2329
5291,-1167
5292,0
5293,1168
5294,2329
5295,3479
5296,4611
5297,5720
5298,6800
5299,7845
5300,8851
5301,9811
5302,10722
5303,11579
5304,12376
5305,13111
5306,13779
5307,14378
5308,14903
5309,15353
5310,15726
5311,16018
5312,16229
5313,16358
5314,16404
5315,16366
5316,16246
5317,16043
5318,15759
5319,15394
5320,14952
5321,14434
5322,13842
5323,13181
5324,12452
5325,11661
5326,10810
5327,9905
5328,8949
5329,7947
5330,6906
5331,5829
5332,4723
5333,3593
5334,2445
5335,1284
5336,117
5337,-1051
5338,-2213
5339,-3364
5340,-4499
5341,-5610
5342,-6693
5343,-7742
5344,-8752
5345,-9717
5346,-10633
5347,-11495
5348,-12299
5349,-13040
5350,-13716
5351,-14321
5352,-14854
5353,-15312
5354,-15692
5355,-15992
5356,-16211
5357,-16348
5358,-16402
5359,-16373
5360,-16261
5361,-16066
5362,-15790
5363,-15434
5364,-14999
5365,-14489
5366,-13905
5367,-13250
5368,-12528
5369,-11743
5370,-10897
5371,-9997
5372,-9046
5373,-8049
5374,-7012
5375,-5938
5376,-4835
5377,-3707
5378,-2560
5379,-1401
5380,-233
5381,934
5382,2098
5383,3251
5384,4387
5385,5501
5386,6587
5387,7639
5388,8653
5389,9623
5390,10544
5391,11412
5392,12222
5393,12969
5394,13651
5395,14264
5396,14805
5397,15270
5398,15658
5399,15966
5400,16193
5401,16339
5402,16401
5403,16380
5404,16276
5405,16090
5406,15822
5407,15474
5408,15046
5409,14543
5410,13966
5411,13319
5412,12604
5413,11824
5414,10985
5415,10090
5416,9144
5417,8151
5418,7117
5419,6047
5420,4947
5421,3821
5422,2676
5423,1517
5424,351
5425,-817
5426,-1982
5427,-3136
5428,-4274
5429,-5390
5430,-6479
5431,-7535
5432,-8553
5433,-9528
5434,-10454
5435,-11327
5436,-12143
5437,-12897
5438,-13586
5439,-14206
5440,-14753
5441,-15226
5442,-15622
5443,-15938
5444,-16174
5445,-16328
5446,-16398
5447,-16386
5448,-16290
5449,-16112
5450,-15852
5451,-15512
5452,-15093
5453,-14597
5454,-14027
5455,-13387
5456,-12678
5457,-11905
5458,-11071
5459,-10182
5460,-9240
5461,-8252
5462,-7222
5463,-6156
5464,-5058
5465,-3934
5466,-2791
5467,-1633
5468,-467
5469,701
5470,1866
5471,3021
5472,4161
5473,5280
5474,6372
5475,7432
5476,8453
5477,9433
5478,10364
5479,11243
5480,12065
5481,12825
5482,13520
5483,14147
5484,14702
5485,15183
5486,15586
5487,15911
5488,16155
5489,16316
5490,16395
5491,16391
5492,16304
5493,16134
5494,15882
5495,15549
5496,15138
5497,14650
5498,14088
5499,13454
5500,12752
5501,11985
5502,11157
5503,10273
5504,9337
5505,8353
5506,7327
5507,6264
5508,5169
5509,4048
5510,2906
5511,1749
5512,584
5513,-584
5514,-1749
5515,-2906
5516,-4048
5517,-5169
5518,-6264
5519,-7327
5520,-8353
5521,-9337
5522,-10273
5523,-11157
5524,-11985
5525,-12752
5526,-13454
5527,-14087
5528,-14650
5529,-15138
5530,-15549
5531,-15881
5532,-16134
5533,-16304
5534,-16391
5535,-16395
5536,-16316
5537,-16154
5538,-15911
5539,-15586
5540,-15183
5541,-14702
5542,-14147
5543,-13520
5544,-12825
5545,-12064
5546,-11243
5547,-10364
5548,-9433
5549,-8453
5550,-7431
5551,-6372
5552,-5280
5553,-4161
5554,-3021
5555,-1866
5556,-701
5557,467
5558,1634
5559,2791
5560,3935
5561,5058
5562,6156
5563,7222
5564,8253
5565,9240
5566,10182
5567,11071
5568,11905
5569,12678
5570,13387
5571,14027
5572,14597
5573,15093
5574,15512
5575,15852
5576,16112
5577,16291
5578,16386
5579,16399
5580,16328
5581,16174
5582,15939
5583,15622
5584,15227
5585,14754
5586,14206
5587,13586
5588,12897
5589,12143
5590,11327
5591,10454
5592,9528
5593,8554
5594,7536
5595,6479
5596,5390
5597,4274
5598,3136
5599,1982
5600,818
5601,-350
5602,-1517
5603,-2675
5604,-3821
5605,-4946
5606,-6047
5607,-7117
5608,-8151
5609,-9143
5610,-10090
5611,-10985
5612,-11824
5613,-12603
5614,-13318
5615,-13966
5616,-14543
5617,-15046
5618,-15473
5619,-15822
5620,-16090
5621,-16276
5622,-16380
5623,-16401
5624,-16339
5625,-16193
5626,-15966
5627,-15657
5628,-15270
5629,-14804
5630,-14264
5631,-13651
5632,-12969
5633,-12221
5634,-11412
5635,-10544
5636,-9623
5637,-8653
5638,-7639
5639,-6586
5640,-5500
5641,-4386
5642,-3250
5643,-2097
5644,-934
5645,234
5646,1401
5647,2560
5648,3707
5649,4835
5650,5939
5651,7012
5652,8049
5653,9046
5654,9997
5655,10898
5656,11743
5657,12528
5658,13250
5659,13905
5660,14489
5661,15000
5662,15434
5663,15791
5664,16067
5665,16261
5666,16374
5667,16403
5668,16348
5669,16211
5670,15992
5671,15692
5672,15312
5673,14854
5674,14322
5675,13716
5676,13040
5677,12299
5678,11496
5679,10633
5680,9717
5681,8752
5682,7742
5683,6693
5684,5611
5685,4499
5686,3365
5687,2213
5688,1051
5689,-117
5690,-1284
5691,-2445
5692,-3593
5693,-4723
5694,-5829
5695,-6906
5696,-7947
5697,-8949
5698,-9904
5699,-10810
5700,-11661
5701,-12452
5702,-13181
5703,-13842
5704,-14434
5705,-14952
5706,-15394
5707,-15758
5708,-16043
5709,-16245
5710,-16366
5711,-16403
5712,-16358
5713,-16229
5714,-16018
5715,-15725
5716,-15353
5717,-14903
5718,-14378
5719,-13779
5720,-13111
5721,-12376
5722,-11578
5723,-10722
5724,-9811
5725,-8851
5726,-7845
5727,-6800
5728,-5720
5729,-4611
5730,-3479
5731,-2329
5732,-1167
5733,0
5734,1168
5735,2329
5736,3479
5737,4611
5738,5720
5739,6800
5740,7845
5741,8851
5742,9811
5743,10722
5744,11578
5745,12376
5746,13111
5747,13780
5748,14378
5749,14903
5750,15353
5751,15726
5752,16018
5753,16229
5754,16358
5755,16404
5756,16366
5757,16245
5758,16043
5759,15758
5760,15394
5761,14952
5762,14434
5763,13843
5764,13181
5765,12452
5766,11661
5767,10810
5768,9905
5769,8949
5770,7947
5771,6906
5772,5830
5773,4723
5774,3593
5775,2445
5776,1284
5777,117
5778,-1051
5779,-2213
5780,-3365
5781,-4499
5782,-5610
5783,-6693
5784,-7742
5785,-8752
5786,-9717
5787,-10633
5788,-11495
5789,-12299
5790,-13040
5791,-13715
5792,-14321
5793,-14854
5794,-15312
5795,-15692
5796,-15992
5797,-16211
5798,-16348
5799,-16402
5800,-16373
5801,-16261
5802,-16067
5803,-15790
5804,-15434
5805,-14999
5806,-14489
5807,-13905
5808,-13250
5809,-12528
5810,-11743
5811,-10898
5812,-9997
5813,-9046
5814,-8049
5815,-7012
5816,-5938
5817,-4835
5818,-3707
5819,-2560
5820,-1400
5821,-234
5822,934
5823,2098
5824,3250
5825,4387
5826,5501
5827,6586
5828,7639
5829,8653
5830,9623
5831,10544
5832,11412
5833,12221
5834,12969
5835,13651
5836,14264
5837,14805
5838,15270
5839,15657
5840,15966
5841,16193
5842,16339
5843,16401
5844,16380
5845,16276
5846,16090
5847,15822
5848,15474
5849,15047
5850,14543
5851,13966
5852,13319
5853,12604
5854,11824
5855,10985
5856,10090
5857,9144
5858,8151
5859,7117
5860,6047
5861,4947
5862,3821
5863,2676
5864,1517
5865,351
5866,-817
5867,-1981
5868,-3135
5869,-4274
5870,-5390
5871,-6479
5872,-7535
5873,-8553
5874,-9528
5875,-10454
5876,-11327
5877,-12143
5878,-12897
5879,-13586
5880,-14206
5881,-14753
5882,-15226
5883,-15622
5884,-15939
5885,-16174
5886,-16328
5887,-16398
5888,-16386
5889,-16290
5890,-16112
5891,-15852
5892,-15512
5893,-15092
5894,-14597
5895,-14027
5896,-13386
5897,-12678
5898,-11904
5899,-11071
5900,-10181
5901,-9240
5902,-8252
5903,-7222
5904,-6156
5905,-5058
5906,-3934
5907,-2791
5908,-1633
5909,-467
5910,701
5911,1866
5912,3021
5913,4161
5914,5280
5915,6372
5916,7431
5917,8454
5918,9433
5919,10364
5920,11243
5921,12065
5922,12825
5923,13520
5924,14147
5925,14702
5926,15183
5927,15586
5928,15911
5929,16154
5930,16316
5931,16395
5932,16391
5933,16304
5934,16134
5935,15882
5936,15549
5937,15138
5938,14650
5939,14088
5940,13454
5941,12752
5942,11985
5943,11157
5944,10273
5945,9337
5946,8353
5947,7327
5948,6264
5949,5169
5950,4048
5951,2906
5952,1750
5953,584
5954,-584
5955,-1749
5956,-2906
5957,-4048
5958,-5169
5959,-6264
5960,-7327
5961,-8353
5962,-9337
5963,-10273
5964,-11157
5965,-11985
5966,-12751
5967,-13453
5968,-14088
5969,-14650
5970,-15138
5971,-15549
5972,-15881
5973,-16134
5974,-16303
5975,-16391
5976,-16395
5977,-16316
5978,-16154
5979,-15910
5980,-15586
5981,-15183
5982,-14702
5983,-14147
5984,-13520
5985,-12825
5986,-12064
5987,-11243
5988,-10364
5989,-9433
5990,-8453
5991,-7431
5992,-6371
5993,-5279
5994,-4161
5995,-3021
5996,-1865
5997,-701
5998,467
5999,1634
6000,2791
6001,3934
6002,5058
6003,6156
6004,7223
6005,8252
6006,9241
6007,10182
6008,11072
6009,11905
6010,12678
6011,13387
6012,14027
6013,14597
6014,15093
6015,15512
6016,15852
6017,16112
6018,16291
6019,16386
6020,16399
6021,16328
6022,16174
6023,15939
6024,15622
6025,15227
6026,14754
6027,14206
6028,13586
6029,12897
6030,12143
6031,11327
6032,10454
6033,9528
6034,8553
6035,7535
6036,6479
6037,5390
6038,4274
6039,3136
6040,1982
6041,818
6042,-351
6043,-1517
6044,-2676
6045,-3821
6046,-4946
6047,-6047
6048,-7117
6049,-8151
6050,-9144
6051,-10090
6052,-10985
6053,-11824
6054,-12603
6055,-13318
6056,-13966
6057,-14543
6058,-15046
6059,-15473
6060,-15822
6061,-16090
6062,-16276
6063,-16380
6064,-16401
6065,-16339
6066,-16193
6067,-15966
6068,-15657
6069,-15269
6070,-14804
6071,-14264
6072,-13651
6073,-12969
6074,-12221
6075,-11411
6076,-10544
6077,-9623
6078,-8653
6079,-7639
6080,-6586
6081,-5500
6082,-4386
6083,-3250
6084,-2098
6085,-934
6086,234
6087,1401
6088,2560
6089,3707
6090,4835
6091,5939
6092,7012
6093,8049
6094,9047
6095,9998
6096,10898
6097,11743
6098,12528
6099,13250
6100,13905
6101,14489
6102,15000
6103,15434
6104,15790
6105,16067
6106,16262
6107,16374
6108,16403
6109,16349
6110,16212
6111,15992
6112,15692
6113,15312
6114,14854
6115,14322
6116,13716
6117,13041
6118,12299
6119,11495
6120,10633
6121,9717
6122,8752
6123,7742
6124,6694
6125,5610
6126,4499
6127,3365
6128,2214
6129,1051
6130,-117
6131,-1284
6132,-2445
6133,-3593
6134,-4723
6135,-5829
6136,-6906
6137,-7947
6138,-8949
6139,-9905
6140,-10810
6141,-11661
6142,-12452
6143,-13181
6144,-13842
6145,-14434
6146,-14952
6147,-15394
6148,-15758
6149,-16043
6150,-16245
6151,-16366
6152,-16403
6153,-16357
6154,-16229
6155,-16018
6156,-15726
6157,-15353
6158,-14903
6159,-14378
6160,-13779
6161,-13111
6162,-12376
6163,-11578
6164,-10722
6165,-9811
6166,-8850
6167,-7845
6168,-6800
6169,-5720
6170,-4611
6171,-3479
6172,-2329
6173,-1168
6174,0
6175,1168
6176,2329
6177,3479
6178,4611
6179,5720
6180,6800
6181,7845
6182,8851
6183,9811
6184,10722
6185,11579
6186,12376
6187,13111
6188,13779
6189,14378
6190,14904
6191,15353
6192,15726
6193,16018
6194,16229
6195,16358
6196,16404
6197,16366
6198,16246
6199,16043
6200,15759
6201,15394
6202,14952
6203,14434
6204,13843
6205,13181
6206,12452
6207,11661
6208,10810
6209,9905
6210,8949
6211,7947
6212,6906
6213,5830
6214,4723
6215,3593
6216,2445
6217,1284
6218,117
6219,-1051
6220,-2213
6221,-3365
6222,-4499
6223,-5610
6224,-6693
6225,-7742
6226,-8752
6227,-9717
6228,-10633
6229,-11495
6230,-12299
6231,-13040
6232,-13716
6233,-14321
6234,-14854
6235,-15312
6236,-15692
6237,-15992
6238,-16211
6239,-16348
6240,-16402
6241,-16373
6242,-16261
6243,-16067
6244,-15790
6245,-15434
6246,-15000
6247,-14489
6248,-13905
6249,-13250
6250,-12528
6251,-11743
6252,-10897
6253,-9997
6254,-9046
6255,-8049
6256,-7012
6257,-5938
6258,-4835
6259,-3707
6260,-2560
6261,-1401
6262,-234
6263,934
6264,2098
6265,3250
6266,4387
6267,5500
6268,6586
6269,7639
6270,8653
6271,9623
6272,10544
6273,11412
6274,12222
6275,12969
6276,13651
6277,14264
6278,14805
6279,15270
6280,15657
6281,15966
6282,16193
6283,16339
6284,16401
6285,16380
6286,16276
6287,16090
6288,15822
6289,15473
6290,15046
6291,14544
6292,13967
6293,13319
6294,12604
6295,11824
6296,10985
6297,10090
6298,9144
6299,8151
6300,7117
6301,6047
6302,4947
6303,3821
6304,2676
6305,1517
6306,351
6307,-817
6308,-1981
6309,-3135
6310,-4274
6311,-5390
6312,-6479
6313,-7535
6314,-8553
6315,-9528
6316,-10454
6317,-11327
6318,-12143
6319,-12897
6320,-13586
6321,-14206
6322,-14754
6323,-15226
6324,-15622
6325,-15939
6326,-16174
6327,-16328
6328,-16398
6329,-16386
6330,-16290
6331,-16112
6332,-15852
6333,-15512
6334,-15093
6335,-14597
6336,-14027
6337,-13386
6338,-12678
6339,-11904
6340,-11071
6341,-10182
6342,-9240
6343,-8252
6344,-7222
6345,-6155
6346,-5058
6347,-3934
6348,-2791
6349,-1633
6350,-467
6351,701
6352,1866
6353,3021
6354,4161
6355,5280
6356,6372
6357,7432
6358,8453
6359,9433
6360,10364
6361,11243
6362,12064
6363,12825
6364,13520
6365,14147
6366,14702
6367,15183
6368,15586
6369,15911
6370,16155
6371,16316
6372,16395
6373,16391
6374,16304
6375,16134
6376,15882
6377,15550
6378,15138
6379,14650
6380,14088
6381,13454
6382,12752
6383,11985
6384,11157
6385,10273
6386,9337
6387,8353
6388,7327
6389,6264
6390,5169
6391,4048
6392,2906
6393,1749
6394,584
6395,-584
6396,-1749
6397,-2906
6398,-4048
6399,-5169
6400,-6264
6401,-7327
6402,-8353
6403,-9337
6404,-10273
6405,-11157
6406,-11985
6407,-12752
6408,-13453
6409,-14087
6410,-14650
6411,-15138
6412,-15549
6413,-15882
6414,-16134
6415,-16304
6416,-16391
6417,-16395
6418,-16316
6419,-16154
6420,-15911
6421,-15586
6422,-15183
6423,-14702
6424,-14147
6425,-13520
6426,-12825
6427,-12064
6428,-11243
6429,-10364
6430,-9433
6431,-8453
6432,-7431
6433,-6372
6434,-5280
6435,-4161
6436,-3021
6437,-1866
6438,-701
6439,467
6440,1634
6441,2791
6442,3935
6443,5058
6444,6156
6445,7222
6446,8252
6447,9240
6448,10182
6449,11072
6450,11905
6451,12678
6452,13387
6453,14028
6454,14597
6455,15093
6456,15512
6457,15852
6458,16112
6459,16291
6460,16386
6461,16399
6462,16328
6463,16174
6464,15939
6465,15622
6466,15227
6467,14754
6468,14206
6469,13586
6470,12898
6471,12143
6472,11327
6473,10454
6474,9528
6475,8554
6476,7535
6477,6479
6478,5390
6479,4274
6480,3136
6481,1982
6482,818
6483,-351
6484,-1517
6485,-2675
6486,-3821
6487,-4946
6488,-6047
6489,-7117
6490,-8151
6491,-9143
6492,-10090
6493,-10985
6494,-11824
6495,-12603
6496,-13319
6497,-13966
6498,-14543
6499,-15046
6500,-15473
6501,-15821
6502,-16089
6503,-16276
6504,-16380
6505,-16401
6506,-16338
6507,-16193
6508,-15966
6509,-15657
6510,-15270
6511,-14804
6512,-14264
6513,-13651
6514,-12969
6515,-12221
6516,-11412
6517,-10544
6518,-9623
6519,-8653
6520,-7639
6521,-6586
6522,-5500
6523,-4386
6524,-3250
6525,-2097
6526,-934
6527,234
6528,1401
6529,2560
6530,3707
6531,4835
6532,5938
6533,7012
6534,8049
6535,9046
6536,9998
6537,10898
6538,11743
6539,12528
6540,13250
6541,13905
6542,14489
6543,15000
6544,15434
6545,15790
6546,16067
6547,16261
6548,16373
6549,16403
6550,16349
6551,16212
6552,15992
6553,15692
6554,15312
6555,14854
6556,14321
6557,13716
6558,13041
6559,12299
6560,11495
6561,10633
6562,9717
6563,8752
6564,7742
6565,6694
6566,5610
6567,4499
6568,3365
6569,2214
6570,1051
6571,-117
6572,-1284
6573,-2445
6574,-3593
6575,-4723
6576,-5829
6577,-6906
6578,-7947
6579,-8948
6580,-9904
6581,-10810
6582,-11661
6583,-12452
6584,-13181
6585,-13842
6586,-14434
6587,-14952
6588,-15394
6589,-15758
6590,-16042
6591,-16245
6592,-16366
6593,-16403
6594,-16358
6595,-16229
6596,-16018
6597,-15726
6598,-15353
6599,-14903
6600,-14378
6601,-13779
6602,-13111
6603,-12376
6604,-11578
6605,-10722
6606,-9811
6607,-8851
6608,-7845
6609,-6800
6610,-5720
6611,-4611
6612,-3479
6613,-2329
6614,-1168
6615,0
6616,1168
6617,2329
6618,3479
6619,4611
6620,5720
6621,6800
6622,7845
6623,8851
6624,9811
6625,10722
6626,11578
6627,12376
6628,13111
6629,13779
6630,14378
6631,14904
6632,15354
6633,15726
6634,16018
6635,16229
6636,16358
6637,16403
6638,16366
6639,16245
6640,16043
6641,15759
6642,15394
6643,14952
6644,14434
6645,13843
6646,13181
6647,12452
6648,11661
6649,10810
6650,9905
6651,8949
6652,7948
6653,6906
6654,5830
6655,4723
6656,3593
6657,2445
6658,1284
6659,117
6660,-1051
6661,-2213
6662,-3365
6663,-4499
6664,-5610
6665,-6693
6666,-7742
6667,-8752
6668,-9717
6669,-10633
6670,-11495
6671,-12299
6672,-13040
6673,-13716
6674,-14321
6675,-14854
6676,-15312
6677,-15692
6678,-15992
6679,-16211
6680,-16348
6681,-16403
6682,-16373
6683,-16261
6684,-16066
6685,-15790
6686,-15434
6687,-14999
6688,-14489
6689,-13905
6690,-13250
6691,-12528
6692,-11742
6693,-10897
6694,-9997
6695,-9046
6696,-8049
6697,-7012
6698,-5938
6699,-4835
6700,-3707
6701,-2560
6702,-1400
6703,-233
6704,935
6705,2098
6706,3250
6707,4387
6708,5500
6709,6587
6710,7639
6711,8653
6712,9623
6713,10544
6714,11412
6715,12222
6716,12969
6717,13651
6718,14264
6719,14804
6720,15270
6721,15657
6722,15966
6723,16193
6724,16339
6725,16401
6726,16380
6727,16276
6728,16090
6729,15822
6730,15474
6731,15047
6732,14544
6733,13966
6734,13319
6735,12604
6736,11824
6737,10985
6738,10090
6739,9144
6740,8151
6741,7117
6742,6047
6743,4947
6744,3821
6745,2676
6746,1517
6747,351
6748,-817
6749,-1981
6750,-3136
6751,-4274
6752,-5390
6753,-6479
6754,-7535
6755,-8553
6756,-9528
6757,-10454
6758,-11327
