,M=100Hz,M=200Hz,M=500Hz
266,-9905,15790,1633
267,-10090,15911,2791
268,-10273,16018,3935
269,-10454,16112,5058
270,-10633,16193,6156
271,-10810,16261,7222
272,-10985,16316,8252
273,-11157,16358,9240
274,-11327,16386,10182
275,-11495,16401,11071
276,-11661,16403,11905
277,-11824,16391,12678
278,-11985,16366,13387
279,-12143,16328,14027
280,-12299,16276,14597
281,-12452,16211,15093
282,-12603,16134,15512
283,-12752,16043,15852
284,-12897,15939,16112
285,-13040,15822,16290
286,-13181,15692,16386
287,-13318,15550,16399
288,-13454,15394,16328
289,-13586,15227,16174
290,-13715,15046,15939
291,-13842,14855,15622
292,-13966,14650,15227
293,-14088,14434,14754
294,-14206,14206,14206
295,-14321,13966,13586
296,-14434,13716,12898
297,-14543,13454,12143
298,-14650,13181,11327
299,-14753,12898,10454
300,-14854,12604,9528
301,-14952,12299,8553
302,-15046,11985,7536
303,-15138,11661,6479
304,-15227,11327,5390
305,-15312,10985,4274
306,-15394,10633,3136
307,-15473,10273,1982
308,-15549,9905,818
309,-15622,9528,-350
310,-15692,9144,-1517
311,-15758,8752,-2675
312,-15822,8353,-3821
313,-15881,7948,-4946
314,-15939,7536,-6047
315,-15992,7117,-7117
316,-16042,6693,-8151
317,-16090,6264,-9144
318,-16134,5829,-10090
319,-16174,5390,-10985
320,-16211,4947,-11824
321,-16245,4499,-12603
322,-16276,4048,-13319
323,-16304,3593,-13966
324,-16327,3136,-14543
325,-16348,2676,-15046
326,-16366,2214,-15473
327,-16380,1749,-15821
328,-16391,1284,-16090
329,-16398,818,-16276
330,-16402,351,-16380
331,-16403,-117,-16401
332,-16401,-584,-16338
333,-16395,-1051,-16193
334,-16386,-1517,-15966
335,-16373,-1982,-15657
336,-16358,-2445,-15269
337,-16338,-2906,-14804
338,-16316,-3364,-14264
339,-16290,-3821,-13651
340,-16261,-4274,-12969
341,-16229,-4723,-12221
342,-16193,-5169,-11412
343,-16154,-5610,-10544
344,-16112,-6047,-9623
345,-16067,-6479,-8653
346,-16018,-6906,-7639
347,-15966,-7327,-6586
348,-15910,-7742,-5500
349,-15852,-8151,-4386
350,-15790,-8553,-3250
351,-15725,-8949,-2098
352,-15657,-9336,-934
353,-15586,-9717,234
354,-15512,-10090,1401
355,-15434,-10454,2560
356,-15353,-10810,3707
357,-15270,-11157,4835
358,-15182,-11495,5939
359,-15093,-11824,7012
360,-15000,-12143,8050
361,-14903,-12452,9047
362,-14804,-12751,9997
363,-14702,-13040,10898
364,-14597,-13318,11743
365,-14489,-13586,12528
366,-14378,-13842,13250
367,-14264,-14088,13905
368,-14147,-14321,14489
369,-14027,-14543,15000
370,-13905,-14754,15434
371,-13779,-14952,15791
372,-13651,-15138,16067
373,-13520,-15312,16262
374,-13386,-15473,16373
375,-13250,-15622,16403
376,-13111,-15758,16348
377,-12969,-15881,16212
378,-12825,-15992,15992
379,-12678,-16090,15692
380,-12528,-16174,15312
381,-12376,-16245,14855
382,-12221,-16304,14321
383,-12064,-16348,13716
384,-11905,-16380,13041
385,-11743,-16398,12299
386,-11578,-16403,11496
387,-11411,-16395,10633
388,-11243,-16373,9717
389,-11071,-16338,8752
390,-10898,-16290,7742
391,-10722,-16229,6693
392,-10544,-16154,5611
393,-10364,-16067,4499
394,-10181,-15966,3365
395,-9997,-15852,2213
396,-9811,-15725,1051
397,-9623,-15586,-117
398,-9432,-15434,-1284
399,-9240,-15269,-2445
400,-9046,-15093,-3593
401,-8850,-14903,-4723
402,-8653,-14702,-5829
403,-8453,-14489,-6906
404,-8252,-14264,-7947
405,-8049,-14027,-8948
406,-7845,-13779,-9905
407,-7639,-13520,-10810
408,-7431,-13250,-11661
409,-7222,-12969,-12452
410,-7012,-12678,-13181
411,-6800,-12376,-13842
412,-6586,-12064,-14434
413,-6371,-11743,-14952
414,-6156,-11411,-15394
415,-5938,-11071,-15758
416,-5720,-10722,-16043
417,-5500,-10364,-16245
418,-5279,-9997,-16366
419,-5058,-9623,-16403
420,-4835,-9240,-16358
421,-4611,-8851,-16229
422,-4386,-8453,-16018
423,-4161,-8049,-15726
424,-3934,-7639,-15353
425,-3707,-7222,-14903
426,-3479,-6800,-14378
427,-3250,-6371,-13779
428,-3021,-5938,-13111
429,-2791,-5500,-12376
430,-2560,-5058,-11578
431,-2329,-4611,-10722
432,-2098,-4161,-9811
433,-1866,-3707,-8850
434,-1633,-3250,-7845
435,-1400,-2791,-6800
436,-1167,-2329,-5720
437,-934,-1865,-4611
438,-701,-1400,-3479
439,-467,-934,-2329
440,-233,-467,-1167
441,0,0,0
442,234,467,1168
443,468,935,2329
444,701,1401,3479
445,935,1866,4611
446,1168,2329,5720
447,1401,2791,6800
448,1633,3250,7845
449,1866,3707,8851
450,2098,4161,9811
451,2329,4611,10722
452,2560,5058,11578
453,2791,5500,12376
454,3021,5938,13111
455,3251,6372,13780
456,3479,6800,14378
457,3707,7223,14903
458,3934,7639,15353
459,4161,8049,15726
460,4387,8453,16018
461,4611,8851,16229
462,4835,9241,16358
463,5058,9623,16403
464,5280,9997,16366
465,5500,10364,16246
466,5720,10722,16043
467,5938,11071,15758
468,6156,11412,15394
469,6372,11743,14952
470,6586,12065,14434
471,6800,12376,13842
472,7012,12678,13181
473,7223,12969,12453
474,7431,13250,11661
475,7639,13520,10810
476,7845,13779,9905
477,8050,14027,8949
478,8252,14264,7948
479,8454,14489,6906
480,8653,14702,5829
481,8851,14904,4723
482,9047,15093,3593
483,9240,15270,2445
484,9433,15434,1284
485,9623,15586,117
486,9811,15726,-1051
487,9997,15852,-2213
488,10182,15966,-3365
489,10364,16067,-4499
490,10544,16154,-5610
491,10722,16229,-6693
492,10898,16291,-7742
493,11072,16339,-8752
494,11243,16374,-9717
495,11412,16395,-10633
496,11579,16404,-11495
497,11743,16399,-12299
498,11905,16380,-13040
499,12065,16349,-13715
500,12222,16304,-14321
501,12376,16246,-14854
502,12528,16174,-15312
503,12678,16090,-15692
504,12825,15992,-15992
505,12969,15882,-16211
506,13111,15758,-16348
507,13250,15622,-16402
508,13387,15473,-16373
509,13520,15312,-16261
510,13651,15138,-16066
511,13779,14952,-15790
512,13905,14754,-15434
513,14027,14543,-15000
514,14147,14322,-14489
515,14264,14088,-13905
516,14378,13843,-13250
517,14489,13586,-12528
518,14597,13319,-11742
519,14702,13041,-10898
520,14804,12752,-9997
521,14904,12452,-9046
522,15000,12143,-8049
523,15093,11824,-7012
524,15183,11495,-5938
525,15270,11157,-4835
526,15354,10810,-3707
527,15434,10454,-2560
528,15512,10090,-1401
529,15586,9717,-234
530,15657,9337,934
531,15726,8949,2098
532,15790,8554,3250
533,15852,8151,4387
534,15911,7742,5500
535,15966,7327,6586
536,16018,6906,7639
537,16067,6479,8653
538,16112,6047,9623
539,16155,5611,10544
540,16193,5169,11412
541,16229,4723,12221
542,16262,4274,12969
543,16290,3821,13651
544,16316,3365,14264
545,16339,2906,14805
546,16358,2445,15270
547,16373,1982,15658
548,16386,1517,15966
549,16395,1051,16193
550,16401,584,16339
551,16403,117,16401
552,16403,-351,16380
553,16398,-817,16276
554,16391,-1284,16090
555,16380,-1749,15822
556,16366,-2213,15474
557,16348,-2675,15046
558,16328,-3135,14544
559,16304,-3593,13967
560,16276,-4047,13319
561,16245,-4499,12603
562,16211,-4947,11824
563,16174,-5390,10985
564,16134,-5829,10090
565,16090,-6264,9144
566,16043,-6693,8151
567,15992,-7117,7117
568,15939,-7535,6047
569,15882,-7947,4947
570,15822,-8353,3821
571,15758,-8752,2676
572,15692,-9143,1517
573,15622,-9528,351
574,15550,-9904,-818
575,15474,-10273,-1981
576,15394,-10633,-3135
577,15312,-10985,-4274
578,15227,-11327,-5390
