,M=100Hz,M=200Hz,M=500Hz
3964,-1167,-2329,-5720
3965,-934,-1866,-4611
3966,-701,-1401,-3479
3967,-467,-934,-2329
3968,-234,-467,-1167
3969,0,0,0
3970,234,468,1168
3971,467,934,2329
3972,701,1401,3479
3973,935,1866,4611
3974,1168,2329,5720
3975,1401,2791,6800
3976,1633,3251,7845
3977,1866,3707,8851
3978,2098,4161,9811
3979,2329,4611,10722
3980,2560,5058,11578
3981,2791,5500,12376
3982,3021,5939,13111
3983,3251,6372,13780
3984,3479,6800,14378
3985,3707,7223,14903
3986,3935,7639,15354
3987,4161,8049,15726
3988,4386,8454,16018
3989,4611,8851,16229
3990,4835,9241,16358
3991,5058,9623,16404
3992,5280,9998,16366
3993,5501,10364,16246
3994,5720,10722,16043
3995,5939,11072,15758
3996,6156,11412,15394
3997,6372,11743,14952
3998,6586,12064,14434
3999,6800,12376,13843
4000,7012,12678,13181
4001,7222,12969,12453
4002,7431,13250,11661
4003,7639,13520,10810
4004,7845,13780,9905
4005,8050,14027,8949
4006,8252,14264,7947
4007,8453,14489,6906
4008,8653,14702,5830
4009,8851,14903,4723
4010,9047,15093,3593
4011,9241,15270,2445
4012,9433,15434,1284
4013,9623,15586,117
4014,9811,15726,-1051
4015,9997,15852,-2213
4016,10182,15966,-3364
4017,10364,16067,-4499
4018,10544,16154,-5610
4019,10722,16229,-6693
4020,10898,16291,-7742
4021,11072,16339,-8752
4022,11243,16374,-9717
4023,11412,16395,-10633
4024,11578,16404,-11495
4025,11743,16398,-12299
4026,11905,16380,-13040
4027,12065,16349,-13716
4028,12222,16304,-14321
4029,12376,16245,-14854
4030,12528,16174,-15312
4031,12678,16090,-15692
4032,12825,15992,-15992
4033,12969,15882,-16211
4034,13111,15758,-16348
4035,13250,15622,-16402
4036,13387,15474,-16373
4037,13520,15312,-16261
4038,13651,15138,-16067
4039,13779,14952,-15790
4040,13905,14754,-15434
4041,14028,14543,-15000
4042,14147,14322,-14489
4043,14264,14088,-13905
4044,14378,13842,-13250
4045,14489,13586,-12528
4046,14597,13319,-11742
4047,14702,13041,-10897
4048,14804,12752,-9997
4049,14904,12453,-9046
4050,15000,12143,-8049
4051,15093,11824,-7012
4052,15183,11496,-5938
4053,15270,11157,-4835
4054,15354,10810,-3707
4055,15434,10454,-2560
4056,15512,10090,-1401
4057,15586,9717,-234
4058,15658,9337,934
4059,15726,8949,2098
4060,15790,8553,3251
4061,15852,8151,4387
4062,15911,7742,5500
4063,15966,7327,6587
4064,16018,6906,7639
4065,16067,6479,8653
4066,16112,6047,9623
4067,16155,5610,10544
4068,16193,5169,11412
4069,16229,4723,12221
4070,16261,4274,12969
4071,16291,3821,13651
4072,16316,3365,14264
4073,16339,2906,14804
4074,16358,2445,15270
4075,16373,1982,15658
4076,16386,1517,15966
4077,16395,1051,16193
4078,16401,584,16339
4079,16404,117,16401
4080,16403,-351,16380
4081,16398,-818,16276
4082,16391,-1284,16090
4083,16380,-1749,15822
4084,16366,-2213,15474
4085,16348,-2675,15047
4086,16328,-3136,14543
4087,16304,-3593,13966
4088,16276,-4047,13319
4089,16245,-4499,12604
4090,16212,-4947,11824
4091,16174,-5390,10985
4092,16134,-5829,10090
4093,16090,-6264,9144
4094,16043,-6693,8151
4095,15992,-7117,7117
4096,15939,-7535,6047
4097,15882,-7947,4947
4098,15822,-8353,3821
4099,15759,-8752,2676
4100,15692,-9144,1517
4101,15622,-9528,351
4102,15549,-9904,-818
4103,15474,-10273,-1982
4104,15394,-10633,-3136
4105,15312,-10985,-4274
4106,15227,-11327,-5390
4107,15138,-11661,-6479
4108,15047,-11985,-7535
4109,14952,-12299,-8553
4110,14854,-12603,-9528
4111,14754,-12897,-10454
4112,14650,-13181,-11327
4113,14543,-13453,-12143
4114,14434,-13715,-12897
4115,14322,-13966,-13586
4116,14206,-14206,-14206
4117,14088,-14434,-14753
4118,13967,-14650,-15227
4119,13842,-14854,-15622
4120,13716,-15046,-15938
4121,13586,-15227,-16174
4122,13454,-15394,-16327
4123,13319,-15549,-16398
4124,13181,-15692,-16386
4125,13040,-15822,-16290
4126,12897,-15939,-16112
4127,12752,-16042,-15852
4128,12604,-16133,-15512
4129,12452,-16211,-15093
4130,12299,-16276,-14597
4131,12143,-16328,-14027
4132,11985,-16366,-13386
4133,11824,-16391,-12678
4134,11661,-16402,-11905
4135,11495,-16401,-11071
4136,11328,-16386,-10182
4137,11157,-16358,-9240
4138,10985,-16316,-8252
4139,10810,-16261,-7222
4140,10633,-16193,-6155
4141,10454,-16112,-5058
4142,10273,-16018,-3934
4143,10090,-15910,-2791
4144,9905,-15790,-1633
4145,9717,-15657,-467
4146,9528,-15511,701
4147,9337,-15353,1866
4148,9144,-15182,3021
4149,8949,-15000,4161
4150,8752,-14804,5280
4151,8554,-14597,6372
4152,8353,-14378,7431
4153,8151,-14147,8453
4154,7947,-13905,9433
4155,7742,-13651,10364
4156,7535,-13386,11243
4157,7327,-13111,12064
4158,7117,-12825,12825
4159,6906,-12528,13520
4160,6693,-12221,14147
4161,6479,-11905,14702
4162,6264,-11578,15183
4163,6047,-11243,15586
4164,5829,-10898,15911
4165,5610,-10544,16155
4166,5390,-10181,16316
4167,5169,-9811,16395
4168,4947,-9433,16391
4169,4723,-9046,16304
4170,4499,-8653,16134
4171,4274,-8252,15882
4172,4048,-7845,15550
4173,3821,-7431,15138
4174,3593,-7012,14650
4175,3365,-6586,14088
4176,3136,-6156,13454
4177,2906,-5720,12752
4178,2676,-5280,11985
4179,2445,-4835,11157
4180,2213,-4386,10273
4181,1982,-3934,9337
4182,1749,-3479,8353
4183,1517,-3021,7327
4184,1284,-2560,6264
4185,1051,-2098,5169
4186,818,-1633,4048
4187,584,-1167,2906
4188,351,-701,1750
4189,117,-234,584
4190,-117,234,-584
4191,-350,701,-1749
4192,-584,1168,-2906
4193,-818,1633,-4047
4194,-1051,2098,-5169
4195,-1284,2561,-6264
4196,-1517,3021,-7327
4197,-1749,3479,-8353
4198,-1982,3935,-9336
4199,-2213,4387,-10273
4200,-2445,4835,-11157
4201,-2676,5280,-11985
4202,-2906,5720,-12752
4203,-3135,6156,-13454
4204,-3365,6587,-14087
4205,-3593,7012,-14650
4206,-3821,7432,-15138
4207,-4048,7845,-15549
4208,-4274,8253,-15881
4209,-4499,8653,-16134
4210,-4723,9047,-16304
4211,-4946,9433,-16391
4212,-5169,9811,-16395
4213,-5390,10182,-16316
4214,-5610,10544,-16154
4215,-5829,10898,-15911
4216,-6047,11243,-15586
4217,-6264,11579,-15182
4218,-6479,11905,-14702
4219,-6693,12221,-14147
4220,-6906,12528,-13520
4221,-7117,12825,-12825
4222,-7327,13111,-12064
4223,-7535,13387,-11242
4224,-7742,13651,-10364
4225,-7947,13905,-9433
4226,-8151,14147,-8453
4227,-8353,14378,-7431
4228,-8553,14597,-6371
4229,-8752,14805,-5279
4230,-8949,15000,-4161
4231,-9143,15183,-3021
4232,-9336,15354,-1865
4233,-9528,15512,-701
4234,-9717,15657,467
4235,-9905,15790,1633
4236,-10090,15911,2791
4237,-10273,16018,3934
4238,-10454,16112,5058
4239,-10633,16193,6156
4240,-10810,16262,7222
4241,-10985,16316,8253
4242,-11157,16358,9240
4243,-11327,16386,10182
4244,-11495,16401,11071
4245,-11661,16403,11905
4246,-11824,16391,12678
4247,-11985,16366,13387
4248,-12143,16328,14028
4249,-12299,16276,14597
4250,-12452,16212,15093
4251,-12603,16134,15512
4252,-12752,16043,15852
4253,-12897,15939,16112
4254,-13040,15822,16291
4255,-13181,15692,16386
4256,-13318,15549,16398
4257,-13453,15394,16328
4258,-13586,15227,16174
4259,-13716,15046,15939
4260,-13842,14854,15622
4261,-13966,14650,15227
4262,-14087,14434,14754
4263,-14206,14206,14206
4264,-14321,13966,13586
4265,-14434,13716,12898
4266,-14543,13454,12143
4267,-14650,13181,11328
4268,-14754,12897,10454
4269,-14854,12603,9528
4270,-14952,12299,8554
4271,-15046,11985,7536
4272,-15138,11661,6479
4273,-15226,11327,5390
4274,-15312,10985,4274
4275,-15394,10633,3136
4276,-15473,10273,1982
4277,-15549,9905,818
4278,-15622,9528,-351
4279,-15692,9144,-1517
4280,-15758,8752,-2676
4281,-15821,8353,-3821
4282,-15882,7947,-4946
4283,-15939,7536,-6047
4284,-15992,7117,-7117
4285,-16042,6694,-8151
4286,-16089,6264,-9143
4287,-16133,5829,-10090
4288,-16174,5390,-10985
4289,-16211,4947,-11824
4290,-16245,4499,-12603
4291,-16276,4048,-13319
4292,-16304,3593,-13966
4293,-16328,3136,-14543
4294,-16348,2676,-15046
4295,-16366,2213,-15473
4296,-16380,1749,-15822
4297,-16391,1284,-16089
4298,-16398,818,-16276
4299,-16402,351,-16380
4300,-16403,-117,-16401
4301,-16401,-584,-16338
4302,-16395,-1051,-16193
4303,-16386,-1517,-15966
4304,-16373,-1981,-15657
4305,-16357,-2445,-15270
4306,-16338,-2906,-14804
4307,-16316,-3364,-14264
4308,-16290,-3821,-13651
4309,-16261,-4274,-12969
4310,-16229,-4723,-12221
4311,-16193,-5169,-11411
4312,-16154,-5610,-10544
4313,-16112,-6047,-9623
4314,-16067,-6479,-8653
4315,-16018,-6906,-7639
4316,-15966,-7327,-6586
4317,-15910,-7742,-5500
4318,-15852,-8151,-4386
4319,-15790,-8553,-3250
4320,-15726,-8948,-2098
4321,-15657,-9336,-934
4322,-15586,-9717,234
4323,-15511,-10090,1401
4324,-15434,-10454,2561
4325,-15353,-10810,3707
4326,-15269,-11157,4835
4327,-15182,-11495,5938
4328,-15092,-11824,7012
4329,-14999,-12143,8050
4330,-14903,-12452,9047
4331,-14804,-12751,9998
4332,-14702,-13040,10898
4333,-14597,-13318,11743
4334,-14489,-13586,12528
4335,-14378,-13842,13250
4336,-14264,-14087,13905
4337,-14147,-14321,14489
4338,-14027,-14543,15000
4339,-13905,-14754,15434
4340,-13779,-14952,15790
4341,-13651,-15138,16067
4342,-13520,-15312,16261
4343,-13386,-15473,16374
4344,-13250,-15622,16403
4345,-13111,-15758,16349
4346,-12969,-15882,16211
4347,-12825,-15992,15992
4348,-12678,-16089,15692
4349,-12528,-16174,15312
4350,-12376,-16245,14854
4351,-12221,-16304,14321
4352,-12064,-16348,13716
4353,-11905,-16380,13040
4354,-11742,-16398,12299
4355,-11578,-16403,11495
4356,-11412,-16395,10633
4357,-11243,-16373,9717
4358,-11071,-16338,8752
4359,-10897,-16290,7742
4360,-10722,-16229,6694
4361,-10544,-16154,5611
4362,-10364,-16066,4499
4363,-10182,-15966,3365
4364,-9997,-15852,2214
4365,-9811,-15726,1051
4366,-9623,-15586,-117
4367,-9433,-15434,-1284
4368,-9240,-15270,-2445
4369,-9046,-15093,-3593
4370,-8851,-14903,-4723
4371,-8653,-14702,-5829
4372,-8453,-14489,-6906
4373,-8252,-14264,-7947
4374,-8049,-14027,-8948
4375,-7845,-13779,-9904
4376,-7639,-13520,-10810
4377,-7431,-13250,-11661
4378,-7222,-12969,-12452
4379,-7012,-12678,-13181
4380,-6800,-12376,-13842
4381,-6586,-12064,-14434
4382,-6371,-11742,-14952
4383,-6155,-11411,-15394
4384,-5938,-11071,-15758
4385,-5720,-10722,-16043
4386,-5500,-10364,-16245
4387,-5279,-9997,-16366
4388,-5058,-9623,-16403
4389,-4835,-9240,-16357
4390,-4611,-8850,-16229
4391,-4386,-8453,-16018
4392,-4161,-8049,-15725
4393,-3934,-7639,-15353
4394,-3707,-7222,-14903
4395,-3479,-6800,-14378
4396,-3250,-6372,-13779
4397,-3021,-5938,-13111
4398,-2791,-5500,-12376
4399,-2560,-5058,-11578
4400,-2329,-4611,-10722
4401,-2097,-4161,-9811
4402,-1866,-3707,-8851
4403,-1633,-3250,-7845
4404,-1400,-2791,-6800
4405,-1168,-2329,-5720
4406,-934,-1866,-4611
4407,-701,-1401,-3479
4408,-467,-934,-2329
4409,-234,-467,-1168
4410,0,0,0
4411,234,468,1168
4412,468,934,2329
4413,701,1401,3479
4414,934,1866,4611
4415,1168,2329,5720
4416,1401,2791,6800
4417,1634,3250,7845
4418,1866,3707,8851
4419,2098,4161,9811
4420,2329,4611,10722
4421,2560,5058,11579
4422,2791,5500,12376
4423,3021,5939,13111
4424,3250,6372,13780
4425,3479,6800,14378
4426,3707,7223,14903
4427,3935,7639,15354
4428,4161,8049,15726
4429,4387,8454,16018
4430,4611,8851,16229
4431,4835,9240,16358
4432,5058,9623,16403
4433,5280,9997,16366
4434,5501,10364,16246
4435,5720,10722,16043
4436,5938,11071,15758
4437,6156,11412,15394
4438,6372,11743,14952
4439,6587,12064,14434
4440,6800,12376,13842
4441,7012,12678,13181
4442,7223,12969,12452
4443,7431,13250,11661
4444,7639,13520,10810
4445,7845,13779,9905
4446,8049,14027,8949
4447,8252,14264,7948
4448,8454,14489,6906
4449,8653,14702,5830
4450,8851,14903,4723
4451,9047,15093,3593
4452,9240,15270,2445
4453,9433,15434,1284
4454,9623,15586,117
4455,9811,15726,-1051
4456,9998,15852,-2213
4457,10182,15966,-3365
4458,10364,16067,-4499
4459,10544,16154,-5610
4460,10722,16229,-6693
4461,10898,16290,-7742
4462,11071,16339,-8752
4463,11243,16373,-9717
4464,11412,16395,-10633
4465,11579,16404,-11495
4466,11743,16399,-12299
4467,11905,16380,-13040
4468,12064,16348,-13716
4469,12222,16304,-14321
4470,12376,16246,-14854
4471,12528,16174,-15312
4472,12678,16090,-15692
4473,12825,15992,-15992
4474,12969,15882,-16211
4475,13111,15758,-16348
4476,13250,15622,-16402
4477,13387,15473,-16373
4478,13520,15312,-16261
4479,13651,15138,-16067
4480,13780,14952,-15790
4481,13905,14754,-15434
4482,14027,14543,-15000
4483,14147,14322,-14489
4484,14264,14088,-13905
4485,14378,13843,-13250
4486,14489,13586,-12528
4487,14597,13319,-11743
4488,14702,13041,-10897
4489,14805,12752,-9997
4490,14904,12452,-9046
4491,15000,12143,-8049
4492,15093,11824,-7012
4493,15183,11496,-5938
4494,15270,11157,-4835
4495,15353,10810,-3707
4496,15434,10454,-2560
4497,15512,10090,-1401
4498,15586,9717,-233
4499,15657,9337,934
4500,15726,8949,2098
4501,15791,8553,3251
4502,15852,8151,4387
4503,15911,7742,5500
4504,15966,7327,6587
4505,16018,6906,7639
4506,16067,6479,8653
4507,16112,6047,9623
4508,16155,5611,10544
4509,16193,5169,11412
4510,16229,4723,12222
4511,16262,4274,12969
4512,16290,3821,13651
4513,16316,3365,14264
4514,16339,2906,14805
4515,16358,2445,15270
4516,16373,1982,15658
4517,16386,1517,15966
4518,16395,1051,16193
4519,16401,584,16339
4520,16404,117,16401
4521,16403,-350,16380
4522,16399,-818,16276
4523,16391,-1284,16090
4524,16380,-1749,15822
4525,16366,-2213,15473
4526,16348,-2675,15047
4527,16328,-3136,14544
4528,16304,-3593,13966
4529,16276,-4048,13319
4530,16245,-4499,12603
4531,16212,-4947,11824
4532,16174,-5390,10985
4533,16134,-5829,10090
4534,16090,-6264,9144
4535,16043,-6693,8151
4536,15992,-7117,7117
4537,15939,-7535,6047
4538,15882,-7947,4947
4539,15822,-8353,3821
4540,15758,-8752,2676
4541,15692,-9143,1517
4542,15622,-9528,351
4543,15549,-9905,-817
4544,15474,-10273,-1981
4545,15394,-10633,-3136
4546,15312,-10985,-4274
4547,15227,-11327,-5390
4548,15138,-11661,-6479
4549,15046,-11985,-7535
4550,14952,-12299,-8553
4551,14854,-12603,-9528
4552,14754,-12897,-10454
4553,14650,-13181,-11327
4554,14544,-13454,-12143
4555,14434,-13715,-12897
4556,14321,-13966,-13586
4557,14206,-14206,-14206
4558,14088,-14434,-14754
4559,13967,-14650,-15226
4560,13842,-14854,-15622
4561,13716,-15046,-15938
4562,13586,-15226,-16174
4563,13454,-15394,-16327
4564,13319,-15549,-16398
4565,13181,-15692,-16386
4566,13041,-15821,-16290
4567,12898,-15939,-16112
4568,12752,-16043,-15852
4569,12604,-16134,-15511
4570,12452,-16211,-15093
4571,12299,-16276,-14597
4572,12143,-16327,-14027
4573,11985,-16366,-13387
4574,11824,-16391,-12678
4575,11661,-16403,-11905
4576,11495,-16401,-11071
4577,11328,-16386,-10181
4578,11157,-16358,-9240
4579,10985,-16316,-8252
4580,10810,-16261,-7222
4581,10633,-16193,-6155
4582,10454,-16112,-5058
4583,10273,-16018,-3934
4584,10090,-15910,-2791
4585,9905,-15790,-1633
4586,9717,-15657,-467
4587,9528,-15512,701
4588,9337,-15353,1866
4589,9144,-15183,3021
4590,8949,-15000,4161
4591,8752,-14804,5280
4592,8553,-14597,6372
4593,8353,-14378,7432
4594,8151,-14147,8454
4595,7947,-13905,9433
4596,7742,-13651,10364
4597,7536,-13387,11243
4598,7327,-13111,12065
4599,7117,-12825,12825
4600,6906,-12528,13520
4601,6693,-12221,14147
4602,6479,-11904,14702
4603,6264,-11578,15183
4604,6047,-11243,15586
4605,5830,-10897,15911
4606,5610,-10544,16154
4607,5390,-10182,16316
4608,5169,-9811,16395
4609,4947,-9432,16391
4610,4723,-9046,16304
4611,4499,-8653,16134
4612,4274,-8252,15882
4613,4048,-7845,15550
4614,3821,-7431,15138
4615,3593,-7012,14650
4616,3365,-6586,14088
4617,3136,-6156,13454
4618,2906,-5720,12752
4619,2676,-5280,11985
4620,2445,-4835,11157
4621,2213,-4386,10273
4622,1982,-3934,9337
4623,1750,-3479,8353
4624,1517,-3021,7327
4625,1284,-2560,6264
4626,1051,-2098,5169
4627,818,-1633,4048
4628,584,-1167,2906
4629,351,-701,1749
4630,117,-233,584
4631,-117,234,-584
4632,-350,701,-1749
4633,-584,1168,-2906
4634,-818,1634,-4047
4635,-1051,2098,-5169
4636,-1284,2560,-6264
4637,-1517,3021,-7327
4638,-1749,3479,-8353
4639,-1982,3935,-9337
4640,-2213,4387,-10273
4641,-2445,4835,-11157
4642,-2676,5280,-11985
4643,-2906,5720,-12751
4644,-3135,6156,-13453
4645,-3364,6586,-14087
4646,-3593,7012,-14650
4647,-3821,7431,-15138
4648,-4048,7845,-15549
4649,-4274,8252,-15881
4650,-4499,8653,-16134
4651,-4723,9046,-16304
4652,-4947,9433,-16391
4653,-5169,9811,-16395
4654,-5390,10182,-16316
4655,-5610,10544,-16154
4656,-5829,10898,-15911
4657,-6047,11243,-15586
4658,-6264,11578,-15183
4659,-6479,11905,-14702
4660,-6693,12221,-14147
4661,-6906,12528,-13520
4662,-7117,12825,-12825
4663,-7327,13111,-12064
4664,-7535,13387,-11243
4665,-7742,13651,-10364
4666,-7947,13905,-9433
4667,-8151,14147,-8453
4668,-8353,14378,-7431
4669,-8553,14597,-6371
4670,-8752,14804,-5280
4671,-8949,15000,-4161
4672,-9144,15183,-3021
4673,-9336,15353,-1866
4674,-9528,15512,-701
4675,-9717,15658,468
4676,-9905,15790,1633
4677,-10090,15911,2791
4678,-10273,16018,3934
4679,-10454,16112,5058
4680,-10633,16193,6156
4681,-10810,16261,7223
4682,-10985,16316,8253
4683,-11157,16358,9240
4684,-11327,16386,10182
4685,-11495,16401,11071
4686,-11661,16403,11905
4687,-11824,16391,12678
4688,-11985,16366,13387
4689,-12143,16328,14027
4690,-12299,16276,14597
4691,-12452,16212,15093
4692,-12603,16134,15512
4693,-12751,16043,15852
4694,-12897,15939,16112
4695,-13040,15822,16291
4696,-13181,15692,16386
4697,-13318,15550,16399
4698,-13453,15394,16328
4699,-13586,15227,16174
4700,-13715,15047,15939
4701,-13842,14855,15622
4702,-13966,14650,15227
4703,-14087,14434,14754
4704,-14206,14206,14206
4705,-14321,13967,13586
4706,-14434,13716,12898
4707,-14543,13454,12143
4708,-14650,13181,11327
4709,-14753,12898,10454
4710,-14854,12604,9528
4711,-14952,12299,8554
4712,-15046,11985,7536
4713,-15138,11661,6479
4714,-15227,11328,5390
4715,-15312,10985,4274
4716,-15394,10633,3136
4717,-15473,10273,1982
4718,-15549,9905,818
4719,-15622,9528,-350
4720,-15692,9144,-1517
4721,-15758,8752,-2676
4722,-15821,8353,-3821
4723,-15881,7947,-4946
4724,-15939,7535,-6047
4725,-15992,7117,-7117
4726,-16042,6693,-8151
4727,-16089,6264,-9143
4728,-16133,5830,-10090
4729,-16174,5390,-10985
4730,-16211,4947,-11824
4731,-16245,4499,-12603
4732,-16276,4048,-13319
4733,-16303,3593,-13966
4734,-16327,3136,-14543
4735,-16348,2676,-15046
4736,-16366,2213,-15473
4737,-16380,1749,-15821
4738,-16391,1284,-16089
4739,-16398,818,-16276
4740,-16402,351,-16380
4741,-16403,-117,-16401
4742,-16401,-584,-16338
4743,-16395,-1051,-16193
4744,-16386,-1517,-15966
4745,-16373,-1981,-15657
4746,-16358,-2445,-15269
4747,-16339,-2906,-14804
4748,-16316,-3364,-14264
4749,-16290,-3821,-13651
4750,-16261,-4274,-12969
4751,-16229,-4723,-12221
4752,-16193,-5169,-11411
4753,-16154,-5610,-10544
4754,-16112,-6047,-9623
4755,-16067,-6479,-8653
4756,-16018,-6906,-7639
4757,-15966,-7327,-6586
4758,-15910,-7742,-5500
4759,-15852,-8151,-4386
4760,-15790,-8553,-3250
4761,-15725,-8948,-2097
4762,-15657,-9336,-934
4763,-15586,-9717,234
4764,-15511,-10090,1401
4765,-15434,-10454,2561
4766,-15353,-10810,3707
4767,-15270,-11157,4835
4768,-15183,-11495,5938
4769,-15093,-11824,7012
4770,-14999,-12143,8050
4771,-14903,-12452,9047
4772,-14804,-12752,9998
4773,-14702,-13040,10898
4774,-14597,-13318,11743
4775,-14489,-13586,12528
4776,-14378,-13842,13250
4777,-14264,-14088,13905
4778,-14147,-14321,14489
4779,-14027,-14543,15000
4780,-13905,-14754,15434
4781,-13779,-14952,15790
4782,-13651,-15138,16067
4783,-13520,-15312,16262
4784,-13387,-15473,16373
4785,-13250,-15622,16403
4786,-13111,-15758,16348
4787,-12969,-15881,16211
4788,-12825,-15992,15992
4789,-12678,-16090,15692
4790,-12528,-16174,15312
4791,-12376,-16245,14854
4792,-12221,-16304,14321
4793,-12064,-16348,13716
4794,-11905,-16380,13041
4795,-11742,-16398,12299
4796,-11578,-16403,11495
4797,-11411,-16395,10633
4798,-11243,-16373,9717
4799,-11071,-16338,8752
4800,-10898,-16290,7742
4801,-10722,-16229,6694
4802,-10544,-16154,5611
4803,-10364,-16066,4499
4804,-10182,-15966,3365
4805,-9997,-15852,2214
4806,-9811,-15725,1051
4807,-9623,-15586,-117
4808,-9432,-15434,-1284
4809,-9240,-15269,-2445
4810,-9046,-15093,-3593
4811,-8850,-14903,-4723
4812,-8653,-14702,-5829
4813,-8453,-14489,-6906
4814,-8252,-14264,-7947
4815,-8049,-14027,-8948
4816,-7845,-13779,-9904
4817,-7639,-13520,-10810
4818,-7431,-13250,-11661
4819,-7222,-12969,-12452
4820,-7012,-12678,-13181
4821,-6800,-12376,-13842
4822,-6586,-12064,-14434
4823,-6371,-11743,-14952
4824,-6156,-11411,-15394
4825,-5938,-11071,-15758
4826,-5720,-10722,-16043
4827,-5500,-10364,-16245
4828,-5279,-9997,-16366
4829,-5058,-9623,-16403
4830,-4835,-9240,-16357
4831,-4611,-8851,-16229
4832,-4386,-8453,-16018
4833,-4161,-8049,-15726
4834,-3934,-7639,-15353
4835,-3707,-7222,-14903
4836,-3479,-6800,-14378
4837,-3250,-6371,-13779
4838,-3021,-5938,-13111
4839,-2791,-5500,-12376
4840,-2560,-5058,-11578
4841,-2329,-4611,-10722
4842,-2098,-4161,-9811
4843,-1865,-3707,-8851
4844,-1633,-3250,-7845
4845,-1400,-2791,-6800
4846,-1168,-2329,-5720
4847,-934,-1865,-4611
4848,-701,-1401,-3479
4849,-467,-934,-2329
4850,-233,-467,-1168
4851,0,0,0
4852,234,467,1168
4853,468,934,2329
4854,701,1401,3479
4855,934,1866,4611
4856,1168,2329,5720
4857,1401,2791,6800
4858,1633,3251,7845
4859,1866,3707,8851
4860,2098,4161,9811
4861,2329,4611,10722
4862,2560,5058,11579
4863,2791,5500,12376
4864,3021,5938,13111
4865,3250,6372,13780
4866,3479,6800,14378
4867,3707,7222,14903
4868,3934,7639,15354
4869,4161,8049,15726
4870,4387,8453,16018
4871,4611,8851,16229
4872,4835,9241,16358
4873,5058,9623,16404
4874,5280,9998,16366
4875,5500,10364,16245
4876,5720,10722,16043
4877,5938,11072,15759
4878,6156,11412,15394
4879,6372,11743,14952
4880,6586,12065,14434
4881,6800,12376,13843
4882,7012,12678,13181
4883,7223,12969,12452
4884,7432,13250,11661
4885,7639,13520,10810
4886,7845,13779,9905
4887,8050,14028,8949
4888,8252,14264,7948
4889,8454,14489,6906
4890,8653,14702,5830
4891,8851,14903,4723
4892,9046,15093,3593
4893,9241,15270,2445
4894,9433,15434,1284
4895,9623,15586,117
4896,9811,15726,-1051
4897,9997,15852,-2213
4898,10182,15966,-3364
4899,10364,16067,-4499
4900,10544,16155,-5610
4901,10722,16229,-6693
4902,10898,16291,-7742
4903,11071,16339,-8752
4904,11243,16373,-9717
4905,11412,16395,-10633
4906,11579,16404,-11495
4907,11743,16399,-12299
4908,11905,16380,-13040
4909,12064,16348,-13716
4910,12221,16304,-14321
4911,12376,16246,-14854
4912,12528,16174,-15312
4913,12678,16090,-15692
4914,12825,15992,-15992
4915,12969,15882,-16211
4916,13111,15758,-16348
4917,13250,15622,-16403
4918,13387,15473,-16373
4919,13520,15312,-16261
4920,13651,15138,-16066
4921,13780,14952,-15790
4922,13905,14754,-15434
4923,14027,14543,-15000
4924,14147,14322,-14489
4925,14264,14088,-13905
4926,14378,13843,-13250
4927,14489,13586,-12528
4928,14597,13319,-11742
4929,14702,13041,-10898
4930,14805,12752,-9997
4931,14904,12453,-9046
4932,15000,12143,-8049
4933,15093,11824,-7012
4934,15183,11496,-5938
4935,15270,11157,-4835
4936,15354,10810,-3707
4937,15434,10454,-2560
4938,15512,10090,-1400
4939,15586,9717,-233
4940,15657,9337,934
4941,15726,8949,2098
4942,15790,8553,3251
4943,15852,8151,4387
4944,15911,7742,5501
4945,15966,7327,6586
4946,16018,6906,7639
4947,16067,6479,8653
4948,16112,6047,9623
4949,16154,5610,10544
4950,16193,5169,11412
4951,16229,4723,12222
4952,16262,4274,12969
4953,16291,3821,13651
4954,16316,3365,14264
4955,16339,2906,14804
4956,16358,2445,15270
4957,16373,1982,15657
4958,16386,1517,15966
4959,16395,1051,16193
4960,16401,584,16339
4961,16404,117,16401
4962,16403,-351,16380
4963,16399,-818,16276
4964,16391,-1284,16090
4965,16380,-1749,15822
4966,16366,-2213,15474
4967,16348,-2676,15047
4968,16328,-3135,14544
4969,16304,-3593,13967
4970,16276,-4048,13319
4971,16245,-4499,12603
4972,16212,-4947,11824
4973,16174,-5390,10985
4974,16134,-5829,10090
4975,16090,-6264,9144
4976,16043,-6693,8151
4977,15992,-7117,7117
4978,15939,-7535,6047
4979,15882,-7947,4947
4980,15822,-8353,3821
4981,15758,-8752,2676
4982,15692,-9144,1517
4983,15622,-9528,351
4984,15550,-9905,-818
4985,15474,-10273,-1981
4986,15394,-10633,-3135
4987,15312,-10985,-4274
4988,15227,-11327,-5390
4989,15138,-11661,-6479
4990,15047,-11985,-7535
4991,14952,-12299,-8553
4992,14854,-12603,-9528
4993,14754,-12897,-10454
4994,14650,-13181,-11327
4995,14543,-13453,-12143
4996,14434,-13715,-12897
4997,14322,-13966,-13586
4998,14206,-14206,-14206
4999,14088,-14434,-14753
5000,13966,-14650,-15226
5001,13842,-14854,-15622
5002,13716,-15046,-15938
5003,13586,-15227,-16174
5004,13454,-15394,-16327
5005,13319,-15549,-16398
5006,13181,-15692,-16386
5007,13040,-15821,-16290
5008,12898,-15939,-16112
5009,12752,-16043,-15852
5010,12603,-16133,-15512
5011,12452,-16211,-15092
5012,12299,-16276,-14597
5013,12143,-16327,-14027
5014,11985,-16366,-13387
5015,11824,-16391,-12678
5016,11661,-16403,-11904
